club,marketValueUnformatted,age,data_date,player_id,Name
AC Sparta Prague U19,200000,16,2018-12-30,552057,Adam Hlozek
AC Sparta Prague,3000000,16,2019-04-30,552057,Adam Hlozek
AC Sparta Prague,3500000,16,2019-06-25,552057,Adam Hlozek
AC Sparta Prague,4000000,17,2019-09-25,552057,Adam Hlozek
AC Sparta Prague,7500000,17,2019-12-07,552057,Adam Hlozek
AC Sparta Prague,6700000,17,2020-04-08,552057,Adam Hlozek
AC Sparta Prague,9000000,17,2020-07-10,552057,Adam Hlozek
AC Sparta Prague,12000000,18,2020-12-27,552057,Adam Hlozek
AC Sparta Prague,17000000,18,2021-05-28,552057,Adam Hlozek
AC Sparta Prague,19000000,19,2021-12-26,552057,Adam Hlozek
AC Sparta Prague,20000000,19,2022-06-22,552057,Adam Hlozek
Bayer 04 Leverkusen,15000000,20,2022-09-21,552057,Adam Hlozek
Bayer 04 Leverkusen,15000000,20,2022-11-09,552057,Adam Hlozek
