club,marketValueUnformatted,age,data_date,player_id,Name
Olympique Lyon,250000,19,2012-09-05,167329,Alassane Plea
Olympique Lyon,400000,19,2013-01-07,167329,Alassane Plea
Olympique Lyon,500000,20,2013-05-30,167329,Alassane Plea
Olympique Lyon,750000,20,2014-01-14,167329,Alassane Plea
Olympique Lyon,1000000,21,2014-08-07,167329,Alassane Plea
OGC Nice,1500000,21,2015-01-14,167329,Alassane Plea
OGC Nice,2500000,22,2015-06-06,167329,Alassane Plea
OGC Nice,4500000,22,2015-09-06,167329,Alassane Plea
OGC Nice,4000000,22,2016-02-04,167329,Alassane Plea
OGC Nice,5000000,23,2016-07-13,167329,Alassane Plea
OGC Nice,7000000,23,2016-11-01,167329,Alassane Plea
OGC Nice,12000000,23,2017-01-16,167329,Alassane Plea
OGC Nice,12000000,24,2017-06-01,167329,Alassane Plea
OGC Nice,15000000,24,2018-01-24,167329,Alassane Plea
OGC Nice,18000000,25,2018-06-04,167329,Alassane Plea
Borussia Mönchengladbach,23000000,25,2018-08-22,167329,Alassane Plea
Borussia Mönchengladbach,28000000,25,2018-10-22,167329,Alassane Plea
Borussia Mönchengladbach,38000000,25,2018-12-18,167329,Alassane Plea
Borussia Mönchengladbach,30000000,26,2019-06-05,167329,Alassane Plea
Borussia Mönchengladbach,30000000,26,2019-12-17,167329,Alassane Plea
Borussia Mönchengladbach,24000000,27,2020-04-08,167329,Alassane Plea
Borussia Mönchengladbach,30000000,27,2020-07-08,167329,Alassane Plea
Borussia Mönchengladbach,35000000,27,2020-11-26,167329,Alassane Plea
Borussia Mönchengladbach,30000000,27,2021-02-10,167329,Alassane Plea
Borussia Mönchengladbach,25000000,28,2021-03-31,167329,Alassane Plea
Borussia Mönchengladbach,22000000,28,2021-06-09,167329,Alassane Plea
Borussia Mönchengladbach,18000000,28,2021-10-07,167329,Alassane Plea
Borussia Mönchengladbach,15000000,28,2021-12-22,167329,Alassane Plea
Borussia Mönchengladbach,15000000,29,2022-06-09,167329,Alassane Plea
Borussia Mönchengladbach,15000000,29,2022-11-09,167329,Alassane Plea
Borussia Mönchengladbach,10000000,30,2023-03-29,167329,Alassane Plea
