club,marketValueUnformatted,age,data_date,player_id,Name
FC Toulouse,150000,19,2019-09-27,532776,Amine Adli
FC Toulouse,150000,19,2019-12-19,532776,Amine Adli
FC Toulouse,300000,19,2020-03-13,532776,Amine Adli
FC Toulouse,500000,20,2020-11-11,532776,Amine Adli
FC Toulouse,5000000,20,2021-03-11,532776,Amine Adli
FC Toulouse,6000000,21,2021-06-25,532776,Amine Adli
Bayer 04 Leverkusen,9000000,21,2021-10-07,532776,Amine Adli
Bayer 04 Leverkusen,12000000,21,2021-12-22,532776,Amine Adli
Bayer 04 Leverkusen,12000000,22,2022-06-09,532776,Amine Adli
Bayer 04 Leverkusen,12000000,22,2022-11-09,532776,Amine Adli
Bayer 04 Leverkusen,15000000,22,2023-03-29,532776,Amine Adli
