club,marketValueUnformatted,age,data_date,player_id,Name
GNK Dinamo Zagreb,800000,18,2009-10-05,46580,Andrej Kramaric
GNK Dinamo Zagreb,1000000,18,2010-01-28,46580,Andrej Kramaric
GNK Dinamo Zagreb,750000,19,2010-09-13,46580,Andrej Kramaric
GNK Dinamo Zagreb,500000,19,2011-02-13,46580,Andrej Kramaric
GNK Dinamo Zagreb,250000,20,2011-08-29,46580,Andrej Kramaric
NK Lokomotiva Zagreb,250000,20,2012-02-29,46580,Andrej Kramaric
NK Lokomotiva Zagreb,500000,21,2012-09-30,46580,Andrej Kramaric
NK Lokomotiva Zagreb,1250000,21,2013-03-03,46580,Andrej Kramaric
HNK Rijeka,1000000,22,2013-10-08,46580,Andrej Kramaric
HNK Rijeka,2500000,22,2014-03-11,46580,Andrej Kramaric
HNK Rijeka,4500000,23,2014-10-01,46580,Andrej Kramaric
Leicester City,8000000,23,2015-02-12,46580,Andrej Kramaric
Leicester City,8000000,24,2015-07-01,46580,Andrej Kramaric
TSG 1899 Hoffenheim,5000000,24,2016-02-15,46580,Andrej Kramaric
TSG 1899 Hoffenheim,7500000,24,2016-06-01,46580,Andrej Kramaric
TSG 1899 Hoffenheim,9000000,25,2016-07-22,46580,Andrej Kramaric
TSG 1899 Hoffenheim,9000000,25,2017-02-07,46580,Andrej Kramaric
TSG 1899 Hoffenheim,15000000,26,2017-06-19,46580,Andrej Kramaric
TSG 1899 Hoffenheim,15000000,26,2017-12-28,46580,Andrej Kramaric
TSG 1899 Hoffenheim,27000000,26,2018-06-05,46580,Andrej Kramaric
TSG 1899 Hoffenheim,35000000,27,2018-07-16,46580,Andrej Kramaric
TSG 1899 Hoffenheim,35000000,27,2018-12-18,46580,Andrej Kramaric
TSG 1899 Hoffenheim,38000000,27,2019-06-05,46580,Andrej Kramaric
TSG 1899 Hoffenheim,38000000,28,2019-12-17,46580,Andrej Kramaric
TSG 1899 Hoffenheim,30500000,28,2020-04-08,46580,Andrej Kramaric
TSG 1899 Hoffenheim,27000000,29,2020-09-16,46580,Andrej Kramaric
TSG 1899 Hoffenheim,32000000,29,2020-11-26,46580,Andrej Kramaric
TSG 1899 Hoffenheim,32000000,29,2021-02-10,46580,Andrej Kramaric
TSG 1899 Hoffenheim,28000000,29,2021-05-28,46580,Andrej Kramaric
TSG 1899 Hoffenheim,23000000,30,2021-10-07,46580,Andrej Kramaric
TSG 1899 Hoffenheim,18000000,30,2021-12-22,46580,Andrej Kramaric
TSG 1899 Hoffenheim,12000000,30,2022-06-09,46580,Andrej Kramaric
TSG 1899 Hoffenheim,9000000,31,2022-11-09,46580,Andrej Kramaric
