club,marketValueUnformatted,age,data_date,player_id,Name
Hamburger SV II,75000,19,2010-02-06,42783,André Hahn
FC Oberneuland,150000,20,2010-11-01,42783,André Hahn
TuS Koblenz,150000,20,2011-05-30,42783,André Hahn
TuS Koblenz,200000,20,2011-06-22,42783,André Hahn
Kickers Offenbach,300000,21,2011-10-15,42783,André Hahn
FC Augsburg,500000,22,2013-01-29,42783,André Hahn
FC Augsburg,800000,22,2013-03-11,42783,André Hahn
FC Augsburg,1250000,22,2013-06-30,42783,André Hahn
FC Augsburg,2000000,23,2013-11-05,42783,André Hahn
FC Augsburg,5000000,23,2014-02-12,42783,André Hahn
Borussia Mönchengladbach,7000000,23,2014-07-10,42783,André Hahn
Borussia Mönchengladbach,8000000,24,2015-02-04,42783,André Hahn
Borussia Mönchengladbach,6000000,24,2015-07-01,42783,André Hahn
Borussia Mönchengladbach,5000000,25,2016-02-15,42783,André Hahn
Borussia Mönchengladbach,7500000,25,2016-07-22,42783,André Hahn
Borussia Mönchengladbach,6000000,26,2017-02-07,42783,André Hahn
Borussia Mönchengladbach,4500000,26,2017-06-19,42783,André Hahn
Hamburger SV,3500000,27,2017-12-28,42783,André Hahn
Hamburger SV,3000000,27,2018-04-04,42783,André Hahn
Hamburger SV,1500000,27,2018-06-05,42783,André Hahn
FC Augsburg,2500000,28,2018-08-22,42783,André Hahn
FC Augsburg,3500000,28,2018-10-22,42783,André Hahn
FC Augsburg,3500000,28,2018-12-18,42783,André Hahn
FC Augsburg,3500000,28,2019-06-05,42783,André Hahn
FC Augsburg,3000000,29,2019-12-17,42783,André Hahn
FC Augsburg,2000000,29,2020-03-11,42783,André Hahn
FC Augsburg,1600000,29,2020-04-08,42783,André Hahn
FC Augsburg,1000000,30,2020-09-16,42783,André Hahn
FC Augsburg,1800000,30,2020-11-26,42783,André Hahn
FC Augsburg,1800000,30,2021-02-10,42783,André Hahn
FC Augsburg,2500000,30,2021-06-09,42783,André Hahn
FC Augsburg,2200000,31,2021-12-22,42783,André Hahn
FC Augsburg,2000000,31,2022-06-09,42783,André Hahn
FC Augsburg,2000000,32,2022-11-09,42783,André Hahn
