club,marketValueUnformatted,age,data_date,player_id,Name
OGC Nice,200000,19,2007-07-04,50512,Anthony Modeste
OGC Nice,500000,19,2007-09-21,50512,Anthony Modeste
OGC Nice,600000,19,2007-12-27,50512,Anthony Modeste
OGC Nice,1600000,20,2008-05-05,50512,Anthony Modeste
OGC Nice,1800000,20,2008-12-30,50512,Anthony Modeste
Angers SCO,1000000,21,2009-08-06,50512,Anthony Modeste
Angers SCO,2000000,21,2009-12-13,50512,Anthony Modeste
Angers SCO,2300000,22,2010-05-18,50512,Anthony Modeste
FC Girondins Bordeaux,3500000,22,2010-08-25,50512,Anthony Modeste
FC Girondins Bordeaux,5500000,22,2010-12-28,50512,Anthony Modeste
FC Girondins Bordeaux,5500000,23,2011-05-24,50512,Anthony Modeste
FC Girondins Bordeaux,4750000,23,2011-12-24,50512,Anthony Modeste
FC Girondins Bordeaux,3500000,24,2012-06-24,50512,Anthony Modeste
SC Bastia,3500000,24,2013-01-07,50512,Anthony Modeste
SC Bastia,4000000,24,2013-01-19,50512,Anthony Modeste
SC Bastia,4500000,25,2013-05-30,50512,Anthony Modeste
TSG 1899 Hoffenheim,5500000,26,2014-07-10,50512,Anthony Modeste
TSG 1899 Hoffenheim,5500000,26,2015-02-04,50512,Anthony Modeste
1. FC Köln,4500000,27,2015-07-01,50512,Anthony Modeste
1. FC Köln,6000000,27,2015-10-16,50512,Anthony Modeste
1. FC Köln,6000000,27,2016-02-15,50512,Anthony Modeste
1. FC Köln,7000000,28,2016-07-22,50512,Anthony Modeste
1. FC Köln,8500000,28,2016-10-13,50512,Anthony Modeste
1. FC Köln,12000000,28,2017-02-07,50512,Anthony Modeste
1. FC Köln,17000000,28,2017-03-22,50512,Anthony Modeste
1. FC Köln,20000000,29,2017-06-19,50512,Anthony Modeste
Tianjin Quanjian,20000000,29,2017-12-01,50512,Anthony Modeste
Tianjin Quanjian,16000000,30,2018-06-05,50512,Anthony Modeste
1. FC Köln,9000000,30,2019-01-08,50512,Anthony Modeste
1. FC Köln,7000000,31,2019-06-12,50512,Anthony Modeste
1. FC Köln,4000000,31,2019-12-17,50512,Anthony Modeste
1. FC Köln,3200000,31,2020-04-08,50512,Anthony Modeste
1. FC Köln,2800000,32,2020-09-16,50512,Anthony Modeste
AS Saint-Étienne,2000000,32,2021-04-09,50512,Anthony Modeste
AS Saint-Étienne,1500000,33,2021-06-04,50512,Anthony Modeste
1. FC Köln,1800000,33,2021-10-07,50512,Anthony Modeste
1. FC Köln,2000000,33,2021-12-22,50512,Anthony Modeste
1. FC Köln,3000000,33,2022-03-24,50512,Anthony Modeste
1. FC Köln,3000000,34,2022-06-09,50512,Anthony Modeste
Borussia Dortmund,4000000,34,2022-09-21,50512,Anthony Modeste
Borussia Dortmund,4000000,34,2022-11-09,50512,Anthony Modeste
Borussia Dortmund,1000000,34,2023-03-29,50512,Anthony Modeste
