club,marketValueUnformatted,age,data_date,player_id,Name
Vålerenga Fotball,300000,19,2017-12-23,500067,Chidera Ejuke
Vålerenga Fotball,400000,20,2018-12-30,500067,Chidera Ejuke
SC Heerenveen,2000000,21,2019-08-01,500067,Chidera Ejuke
SC Heerenveen,3000000,21,2019-12-18,500067,Chidera Ejuke
SC Heerenveen,4500000,22,2020-03-12,500067,Chidera Ejuke
SC Heerenveen,4000000,22,2020-04-08,500067,Chidera Ejuke
SC Heerenveen,5500000,22,2020-08-12,500067,Chidera Ejuke
CSKA Moscow,8000000,22,2020-10-19,500067,Chidera Ejuke
CSKA Moscow,8000000,22,2020-12-29,500067,Chidera Ejuke
CSKA Moscow,8000000,23,2021-06-02,500067,Chidera Ejuke
CSKA Moscow,9000000,23,2021-12-29,500067,Chidera Ejuke
CSKA Moscow,7500000,24,2022-06-02,500067,Chidera Ejuke
Hertha BSC,7500000,24,2022-11-09,500067,Chidera Ejuke
