club,marketValueUnformatted,age,data_date,player_id,Name
1. FC Köln,50000,19,2017-07-01,272278,Chris Führich
1. FC Köln,150000,20,2018-02-03,272278,Chris Führich
1. FC Köln,150000,20,2018-08-21,272278,Chris Führich
1. FC Köln,150000,20,2019-01-08,272278,Chris Führich
1. FC Köln,150000,21,2019-06-12,272278,Chris Führich
Borussia Dortmund II,175000,22,2020-01-21,272278,Chris Führich
Borussia Dortmund II,200000,22,2020-06-22,272278,Chris Führich
SC Paderborn 07,500000,22,2020-11-18,272278,Chris Führich
SC Paderborn 07,1000000,23,2021-02-08,272278,Chris Führich
SC Paderborn 07,1500000,23,2021-03-29,272278,Chris Führich
SC Paderborn 07,2500000,23,2021-06-16,272278,Chris Führich
VfB Stuttgart,2500000,23,2021-12-22,272278,Chris Führich
VfB Stuttgart,4000000,24,2022-03-24,272278,Chris Führich
VfB Stuttgart,4000000,24,2022-06-09,272278,Chris Führich
VfB Stuttgart,4000000,24,2022-11-09,272278,Chris Führich
