club,marketValueUnformatted,age,data_date,player_id,Name
TSG Sprockhövel,75000,22,2016-07-15,289182,Christopher Antwi-Adjei
TSG Sprockhövel,75000,22,2016-11-20,289182,Christopher Antwi-Adjei
SC Paderborn 07,125000,23,2017-07-01,289182,Christopher Antwi-Adjei
SC Paderborn 07,225000,23,2017-10-19,289182,Christopher Antwi-Adjei
SC Paderborn 07,250000,23,2018-01-19,289182,Christopher Antwi-Adjei
SC Paderborn 07,500000,24,2018-06-08,289182,Christopher Antwi-Adjei
SC Paderborn 07,550000,24,2019-01-08,289182,Christopher Antwi-Adjei
SC Paderborn 07,1500000,25,2019-06-12,289182,Christopher Antwi-Adjei
SC Paderborn 07,2000000,25,2019-12-17,289182,Christopher Antwi-Adjei
SC Paderborn 07,1600000,26,2020-04-08,289182,Christopher Antwi-Adjei
SC Paderborn 07,1000000,27,2021-02-08,289182,Christopher Antwi-Adjei
SC Paderborn 07,1000000,27,2021-06-16,289182,Christopher Antwi-Adjei
VfL Bochum,1000000,27,2021-12-22,289182,Christopher Antwi-Adjei
VfL Bochum,1000000,28,2022-06-09,289182,Christopher Antwi-Adjei
VfL Bochum,1000000,28,2022-11-09,289182,Christopher Antwi-Adjei
VfL Bochum,1800000,29,2023-03-29,289182,Christopher Antwi-Adjei
