club,marketValueUnformatted,age,data_date,player_id,Name
SC Freiburg II,50000,20,2008-08-19,38410,Daniel Caligiuri
SC Freiburg II,75000,21,2009-06-18,38410,Daniel Caligiuri
SC Freiburg II,125000,21,2009-11-09,38410,Daniel Caligiuri
SC Freiburg II,200000,21,2009-11-15,38410,Daniel Caligiuri
SC Freiburg II,300000,21,2009-12-08,38410,Daniel Caligiuri
SC Freiburg II,450000,21,2009-12-23,38410,Daniel Caligiuri
SC Freiburg,600000,22,2010-01-17,38410,Daniel Caligiuri
SC Freiburg,750000,22,2010-03-05,38410,Daniel Caligiuri
SC Freiburg,750000,22,2010-08-29,38410,Daniel Caligiuri
SC Freiburg,1000000,22,2011-01-12,38410,Daniel Caligiuri
SC Freiburg,1250000,23,2011-06-29,38410,Daniel Caligiuri
SC Freiburg,1000000,24,2012-01-23,38410,Daniel Caligiuri
SC Freiburg,1250000,24,2012-03-05,38410,Daniel Caligiuri
SC Freiburg,2500000,24,2012-06-29,38410,Daniel Caligiuri
SC Freiburg,3500000,24,2013-01-13,38410,Daniel Caligiuri
SC Freiburg,4500000,25,2013-06-30,38410,Daniel Caligiuri
VfL Wolfsburg,4000000,26,2014-07-10,38410,Daniel Caligiuri
VfL Wolfsburg,4000000,27,2015-02-04,38410,Daniel Caligiuri
VfL Wolfsburg,5000000,27,2015-03-29,38410,Daniel Caligiuri
VfL Wolfsburg,7500000,27,2015-07-01,38410,Daniel Caligiuri
VfL Wolfsburg,7500000,28,2016-02-15,38410,Daniel Caligiuri
VfL Wolfsburg,6500000,28,2016-07-22,38410,Daniel Caligiuri
FC Schalke 04,5000000,29,2017-02-07,38410,Daniel Caligiuri
FC Schalke 04,5000000,29,2017-06-19,38410,Daniel Caligiuri
FC Schalke 04,5000000,29,2017-12-28,38410,Daniel Caligiuri
FC Schalke 04,7500000,30,2018-06-05,38410,Daniel Caligiuri
FC Schalke 04,7500000,30,2018-12-18,38410,Daniel Caligiuri
FC Schalke 04,6500000,31,2019-06-05,38410,Daniel Caligiuri
FC Schalke 04,5000000,31,2019-12-17,38410,Daniel Caligiuri
FC Schalke 04,4000000,32,2020-04-08,38410,Daniel Caligiuri
FC Augsburg,3000000,32,2020-09-16,38410,Daniel Caligiuri
FC Augsburg,3000000,33,2021-02-10,38410,Daniel Caligiuri
FC Augsburg,2000000,33,2021-05-31,38410,Daniel Caligiuri
FC Augsburg,1500000,33,2021-12-22,38410,Daniel Caligiuri
FC Augsburg,800000,34,2022-06-09,38410,Daniel Caligiuri
FC Augsburg,600000,34,2022-11-09,38410,Daniel Caligiuri
