club,marketValueUnformatted,age,data_date,player_id,Name
SV Werder Bremen U19,100000,18,2013-01-31,178459,Davie Selke
SV Werder Bremen II,150000,18,2013-07-25,178459,Davie Selke
SV Werder Bremen II,200000,19,2014-02-20,178459,Davie Selke
SV Werder Bremen,250000,19,2014-07-10,178459,Davie Selke
SV Werder Bremen,1000000,19,2014-08-21,178459,Davie Selke
SV Werder Bremen,2000000,19,2014-11-03,178459,Davie Selke
SV Werder Bremen,3500000,20,2015-02-04,178459,Davie Selke
SV Werder Bremen,5000000,20,2015-03-29,178459,Davie Selke
RB Leipzig,5000000,20,2015-07-01,178459,Davie Selke
RB Leipzig,5000000,21,2016-02-11,178459,Davie Selke
RB Leipzig,4000000,21,2016-03-22,178459,Davie Selke
RB Leipzig,4000000,21,2016-07-22,178459,Davie Selke
RB Leipzig,4000000,22,2017-02-07,178459,Davie Selke
RB Leipzig,3000000,22,2017-03-22,178459,Davie Selke
RB Leipzig,6000000,22,2017-06-19,178459,Davie Selke
Hertha BSC,8000000,22,2017-12-28,178459,Davie Selke
Hertha BSC,12000000,23,2018-06-05,178459,Davie Selke
Hertha BSC,15000000,23,2018-10-22,178459,Davie Selke
Hertha BSC,15000000,23,2018-12-18,178459,Davie Selke
Hertha BSC,20000000,24,2019-03-06,178459,Davie Selke
Hertha BSC,18000000,24,2019-06-05,178459,Davie Selke
Hertha BSC,15000000,24,2019-10-02,178459,Davie Selke
Hertha BSC,10000000,24,2019-12-17,178459,Davie Selke
SV Werder Bremen,8000000,25,2020-04-08,178459,Davie Selke
SV Werder Bremen,5000000,25,2020-07-08,178459,Davie Selke
SV Werder Bremen,5000000,26,2021-02-10,178459,Davie Selke
SV Werder Bremen,2800000,26,2021-06-09,178459,Davie Selke
Hertha BSC,1800000,26,2021-12-22,178459,Davie Selke
Hertha BSC,1800000,27,2022-06-09,178459,Davie Selke
Hertha BSC,1800000,27,2022-11-09,178459,Davie Selke
