club,marketValueUnformatted,age,data_date,player_id,Name
De Graafschap Doetinchem U21,50000,19,2018-03-01,436585,Delano Burgzorg
De Graafschap Doetinchem U21,75000,19,2018-06-29,436585,Delano Burgzorg
De Graafschap Doetinchem,300000,19,2018-10-04,436585,Delano Burgzorg
De Graafschap Doetinchem,300000,20,2018-12-28,436585,Delano Burgzorg
De Graafschap Doetinchem,700000,20,2019-06-12,436585,Delano Burgzorg
Spezia Calcio,600000,21,2019-12-30,436585,Delano Burgzorg
Heracles Almelo,525000,21,2020-04-08,436585,Delano Burgzorg
Heracles Almelo,525000,21,2020-10-14,436585,Delano Burgzorg
Heracles Almelo,600000,22,2021-01-06,436585,Delano Burgzorg
Heracles Almelo,800000,22,2021-03-09,436585,Delano Burgzorg
Heracles Almelo,750000,22,2021-05-19,436585,Delano Burgzorg
Heracles Almelo,750000,23,2022-01-05,436585,Delano Burgzorg
1.FSV Mainz 05,2000000,23,2022-06-09,436585,Delano Burgzorg
1.FSV Mainz 05,2000000,24,2022-11-09,436585,Delano Burgzorg
