club,marketValueUnformatted,age,data_date,player_id,Name
Atromitos Athen,50000,16,2014-11-11,324344,Dimitrios Limnios
Atromitos Athen,100000,16,2015-05-10,324344,Dimitrios Limnios
Atromitos Athen,200000,17,2015-09-27,324344,Dimitrios Limnios
Atromitos Athen,250000,18,2016-06-21,324344,Dimitrios Limnios
Atromitos Athen,350000,18,2016-12-21,324344,Dimitrios Limnios
Atromitos Athen,800000,18,2017-05-11,324344,Dimitrios Limnios
PAOK Thessaloniki,900000,19,2017-12-18,324344,Dimitrios Limnios
PAOK Thessaloniki,1500000,19,2018-05-22,324344,Dimitrios Limnios
PAOK Thessaloniki,2500000,20,2018-12-07,324344,Dimitrios Limnios
PAOK Thessaloniki,3500000,20,2019-05-21,324344,Dimitrios Limnios
PAOK Thessaloniki,4500000,21,2019-12-18,324344,Dimitrios Limnios
PAOK Thessaloniki,4000000,21,2020-04-08,324344,Dimitrios Limnios
PAOK Thessaloniki,4000000,22,2020-08-04,324344,Dimitrios Limnios
1. FC Köln,4000000,22,2021-02-10,324344,Dimitrios Limnios
1. FC Köln,2500000,22,2021-03-31,324344,Dimitrios Limnios
1. FC Köln,2000000,23,2021-06-09,324344,Dimitrios Limnios
Twente Enschede FC,1500000,23,2022-01-05,324344,Dimitrios Limnios
Twente Enschede FC,2000000,24,2022-06-08,324344,Dimitrios Limnios
1. FC Köln,2000000,24,2022-11-09,324344,Dimitrios Limnios
