club,marketValueUnformatted,age,data_date,player_id,Name
RSC Anderlecht,1000000,18,2016-02-07,303259,Dodi Lukébakio
RSC Anderlecht,1000000,18,2016-07-15,303259,Dodi Lukébakio
FC Toulouse,800000,19,2017-01-16,303259,Dodi Lukébakio
FC Toulouse,800000,19,2017-06-01,303259,Dodi Lukébakio
RSC Charleroi,1200000,20,2017-10-20,303259,Dodi Lukébakio
RSC Charleroi,3000000,20,2018-01-09,303259,Dodi Lukébakio
Watford FC,3000000,20,2018-05-28,303259,Dodi Lukébakio
Fortuna Düsseldorf,6000000,21,2018-12-18,303259,Dodi Lukébakio
Fortuna Düsseldorf,10000000,21,2019-03-06,303259,Dodi Lukébakio
Fortuna Düsseldorf,18000000,21,2019-06-05,303259,Dodi Lukébakio
Hertha BSC,21000000,22,2019-12-17,303259,Dodi Lukébakio
Hertha BSC,17000000,22,2020-04-08,303259,Dodi Lukébakio
Hertha BSC,19000000,22,2020-07-08,303259,Dodi Lukébakio
Hertha BSC,15000000,23,2021-02-10,303259,Dodi Lukébakio
Hertha BSC,13000000,23,2021-06-09,303259,Dodi Lukébakio
VfL Wolfsburg,13000000,24,2021-12-22,303259,Dodi Lukébakio
VfL Wolfsburg,9000000,24,2022-03-24,303259,Dodi Lukébakio
VfL Wolfsburg,7500000,24,2022-06-09,303259,Dodi Lukébakio
Hertha BSC,12000000,25,2022-11-09,303259,Dodi Lukébakio
