club,marketValueUnformatted,age,data_date,player_id,Name
PSV Eindhoven U21,200000,18,2017-08-31,326029,Donyell Malen
PSV Eindhoven U21,500000,18,2018-01-17,326029,Donyell Malen
PSV Eindhoven U21,750000,19,2018-06-12,326029,Donyell Malen
PSV Eindhoven,2500000,19,2018-10-04,326029,Donyell Malen
PSV Eindhoven,5000000,19,2018-12-28,326029,Donyell Malen
PSV Eindhoven,7000000,20,2019-06-12,326029,Donyell Malen
PSV Eindhoven,18000000,20,2019-09-19,326029,Donyell Malen
PSV Eindhoven,28000000,20,2019-12-18,326029,Donyell Malen
PSV Eindhoven,25000000,21,2020-04-08,326029,Donyell Malen
PSV Eindhoven,25000000,21,2020-10-14,326029,Donyell Malen
PSV Eindhoven,30000000,22,2021-03-09,326029,Donyell Malen
PSV Eindhoven,30000000,22,2021-05-27,326029,Donyell Malen
Borussia Dortmund,30000000,22,2021-12-22,326029,Donyell Malen
Borussia Dortmund,27000000,23,2022-03-24,326029,Donyell Malen
Borussia Dortmund,27000000,23,2022-06-09,326029,Donyell Malen
Borussia Dortmund,20000000,23,2022-11-09,326029,Donyell Malen
Borussia Dortmund,16000000,24,2023-03-29,326029,Donyell Malen
