club,marketValueUnformatted,age,data_date,player_id,Name
Hamburger SV U19,200000,18,2007-05-09,45660,Eric Maxim Choupo-Moting
Hamburger SV,500000,18,2007-11-08,45660,Eric Maxim Choupo-Moting
Hamburger SV,800000,18,2008-01-01,45660,Eric Maxim Choupo-Moting
Hamburger SV,1000000,19,2008-06-04,45660,Eric Maxim Choupo-Moting
Hamburger SV,1500000,21,2010-07-13,45660,Eric Maxim Choupo-Moting
Hamburger SV,2000000,21,2010-07-16,45660,Eric Maxim Choupo-Moting
Hamburger SV,3000000,21,2011-01-12,45660,Eric Maxim Choupo-Moting
Hamburger SV,2000000,22,2011-06-29,45660,Eric Maxim Choupo-Moting
1.FSV Mainz 05,2250000,22,2012-01-23,45660,Eric Maxim Choupo-Moting
1.FSV Mainz 05,3500000,23,2012-06-29,45660,Eric Maxim Choupo-Moting
1.FSV Mainz 05,3500000,23,2013-01-13,45660,Eric Maxim Choupo-Moting
1.FSV Mainz 05,2750000,24,2013-06-30,45660,Eric Maxim Choupo-Moting
1.FSV Mainz 05,3500000,24,2014-02-12,45660,Eric Maxim Choupo-Moting
1.FSV Mainz 05,5000000,25,2014-03-31,45660,Eric Maxim Choupo-Moting
FC Schalke 04,7500000,25,2014-07-10,45660,Eric Maxim Choupo-Moting
FC Schalke 04,10000000,25,2015-02-04,45660,Eric Maxim Choupo-Moting
FC Schalke 04,10000000,26,2015-07-01,45660,Eric Maxim Choupo-Moting
FC Schalke 04,10000000,26,2016-02-15,45660,Eric Maxim Choupo-Moting
FC Schalke 04,8000000,27,2016-07-22,45660,Eric Maxim Choupo-Moting
FC Schalke 04,8000000,27,2017-02-07,45660,Eric Maxim Choupo-Moting
FC Schalke 04,6000000,28,2017-06-19,45660,Eric Maxim Choupo-Moting
Stoke City,8000000,28,2018-01-02,45660,Eric Maxim Choupo-Moting
Stoke City,8000000,29,2018-05-28,45660,Eric Maxim Choupo-Moting
Paris Saint-Germain,8000000,29,2018-12-17,45660,Eric Maxim Choupo-Moting
Paris Saint-Germain,6000000,29,2019-03-07,45660,Eric Maxim Choupo-Moting
Paris Saint-Germain,5000000,30,2019-06-03,45660,Eric Maxim Choupo-Moting
Paris Saint-Germain,5000000,30,2019-12-19,45660,Eric Maxim Choupo-Moting
Paris Saint-Germain,4000000,31,2020-04-08,45660,Eric Maxim Choupo-Moting
Bayern Munich,3500000,31,2021-02-10,45660,Eric Maxim Choupo-Moting
Bayern Munich,3500000,32,2021-06-09,45660,Eric Maxim Choupo-Moting
Bayern Munich,3500000,32,2021-12-22,45660,Eric Maxim Choupo-Moting
Bayern Munich,3000000,33,2022-06-09,45660,Eric Maxim Choupo-Moting
Bayern Munich,6000000,33,2022-11-09,45660,Eric Maxim Choupo-Moting
