club,marketValueUnformatted,age,data_date,player_id,Name
Deportivo Alavés B,1000000,19,2018-03-22,335457,Ermedin Demirovic
Deportivo Alavés B,1000000,20,2018-05-30,335457,Ermedin Demirovic
FC Sochaux-Montbéliard,1000000,20,2019-01-08,335457,Ermedin Demirovic
UD Almería,1000000,20,2019-02-19,335457,Ermedin Demirovic
UD Almería,1000000,21,2019-06-29,335457,Ermedin Demirovic
FC St. Gallen 1879,1000000,21,2020-01-06,335457,Ermedin Demirovic
FC St. Gallen 1879,900000,22,2020-04-08,335457,Ermedin Demirovic
FC St. Gallen 1879,3000000,22,2020-07-31,335457,Ermedin Demirovic
SC Freiburg,4000000,22,2020-09-16,335457,Ermedin Demirovic
SC Freiburg,10000000,22,2021-02-10,335457,Ermedin Demirovic
SC Freiburg,12000000,23,2021-06-09,335457,Ermedin Demirovic
SC Freiburg,9000000,23,2021-10-07,335457,Ermedin Demirovic
SC Freiburg,7500000,23,2021-12-22,335457,Ermedin Demirovic
SC Freiburg,6000000,24,2022-06-09,335457,Ermedin Demirovic
FC Augsburg,9000000,24,2022-11-09,335457,Ermedin Demirovic
FC Augsburg,12000000,25,2023-03-29,335457,Ermedin Demirovic
