club,marketValueUnformatted,age,data_date,player_id,Name
FC Carl Zeiss Jena,50000,18,2016-08-22,283871,Florian Dietz
FC Carl Zeiss Jena,75000,18,2017-03-16,283871,Florian Dietz
FC Carl Zeiss Jena,100000,19,2017-08-18,283871,Florian Dietz
FC Carl Zeiss Jena,150000,19,2017-10-19,283871,Florian Dietz
FC Carl Zeiss Jena,175000,19,2018-01-19,283871,Florian Dietz
FC Carl Zeiss Jena,200000,19,2018-06-08,283871,Florian Dietz
SV Werder Bremen II,200000,20,2018-08-08,283871,Florian Dietz
SV Werder Bremen II,125000,20,2019-02-24,283871,Florian Dietz
SV Werder Bremen II,125000,20,2019-07-28,283871,Florian Dietz
SpVgg Unterhaching,150000,21,2019-09-23,283871,Florian Dietz
SpVgg Unterhaching,150000,21,2019-12-11,283871,Florian Dietz
SpVgg Unterhaching,125000,21,2020-04-03,283871,Florian Dietz
1.FC Köln II,125000,22,2021-01-05,283871,Florian Dietz
1.FC Köln II,100000,22,2021-06-26,283871,Florian Dietz
1.FC Köln II,125000,23,2021-09-27,283871,Florian Dietz
1.FC Köln II,150000,23,2021-12-22,283871,Florian Dietz
1.FC Köln II,150000,23,2022-06-13,283871,Florian Dietz
1. FC Köln,750000,24,2022-09-21,283871,Florian Dietz
1. FC Köln,1000000,24,2022-11-09,283871,Florian Dietz
