club,marketValueUnformatted,age,data_date,player_id,Name
SK Sturm Graz II,50000,17,2009-12-09,106270,Florian Kainz
SK Sturm Graz,150000,17,2010-10-01,106270,Florian Kainz
SK Sturm Graz,250000,18,2010-12-28,106270,Florian Kainz
SK Sturm Graz,350000,18,2011-06-22,106270,Florian Kainz
SK Sturm Graz,550000,19,2011-12-30,106270,Florian Kainz
SK Sturm Graz,900000,19,2012-05-30,106270,Florian Kainz
SK Sturm Graz,1200000,19,2012-09-24,106270,Florian Kainz
SK Sturm Graz,1200000,20,2012-12-19,106270,Florian Kainz
SK Sturm Graz,1000000,20,2013-06-04,106270,Florian Kainz
SK Sturm Graz,800000,20,2013-09-16,106270,Florian Kainz
SK Sturm Graz,750000,21,2013-12-27,106270,Florian Kainz
SK Sturm Graz,900000,21,2014-06-20,106270,Florian Kainz
Rapid Vienna,1000000,21,2014-10-21,106270,Florian Kainz
Rapid Vienna,1250000,22,2015-01-11,106270,Florian Kainz
Rapid Vienna,1250000,22,2015-06-17,106270,Florian Kainz
Rapid Vienna,2000000,22,2015-10-02,106270,Florian Kainz
Rapid Vienna,3500000,23,2015-12-29,106270,Florian Kainz
Rapid Vienna,4500000,23,2016-06-01,106270,Florian Kainz
SV Werder Bremen,3500000,23,2016-10-13,106270,Florian Kainz
SV Werder Bremen,2750000,24,2017-02-07,106270,Florian Kainz
SV Werder Bremen,3000000,24,2017-06-19,106270,Florian Kainz
SV Werder Bremen,3000000,25,2017-12-28,106270,Florian Kainz
SV Werder Bremen,4000000,25,2018-06-05,106270,Florian Kainz
SV Werder Bremen,4000000,26,2018-12-18,106270,Florian Kainz
1. FC Köln,3000000,26,2019-03-13,106270,Florian Kainz
1. FC Köln,3000000,26,2019-06-12,106270,Florian Kainz
1. FC Köln,3000000,27,2019-12-17,106270,Florian Kainz
1. FC Köln,2400000,27,2020-04-08,106270,Florian Kainz
1. FC Köln,4000000,27,2020-09-16,106270,Florian Kainz
1. FC Köln,4000000,28,2021-02-10,106270,Florian Kainz
1. FC Köln,3500000,28,2021-06-09,106270,Florian Kainz
1. FC Köln,3500000,29,2021-12-22,106270,Florian Kainz
1. FC Köln,3500000,29,2022-06-09,106270,Florian Kainz
1. FC Köln,4000000,29,2022-09-21,106270,Florian Kainz
1. FC Köln,4000000,30,2022-11-09,106270,Florian Kainz
