club,marketValueUnformatted,age,data_date,player_id,Name
FC Ismaning,50000,20,2011-07-04,152963,Florian Niederlechner
SpVgg Unterhaching,100000,20,2011-08-08,152963,Florian Niederlechner
SpVgg Unterhaching,200000,21,2012-01-10,152963,Florian Niederlechner
SpVgg Unterhaching,300000,21,2012-06-09,152963,Florian Niederlechner
SpVgg Unterhaching,400000,22,2012-12-30,152963,Florian Niederlechner
1.FC Heidenheim 1846,500000,22,2013-06-28,152963,Florian Niederlechner
1.FC Heidenheim 1846,475000,23,2014-01-24,152963,Florian Niederlechner
1.FC Heidenheim 1846,500000,23,2014-06-30,152963,Florian Niederlechner
1.FC Heidenheim 1846,700000,23,2014-10-01,152963,Florian Niederlechner
1.FC Heidenheim 1846,900000,24,2015-01-13,152963,Florian Niederlechner
1.FSV Mainz 05,2000000,24,2015-07-01,152963,Florian Niederlechner
SC Freiburg,1500000,25,2016-02-11,152963,Florian Niederlechner
SC Freiburg,1750000,25,2016-07-22,152963,Florian Niederlechner
SC Freiburg,2500000,26,2017-02-07,152963,Florian Niederlechner
SC Freiburg,5500000,26,2017-06-19,152963,Florian Niederlechner
SC Freiburg,4500000,27,2017-12-28,152963,Florian Niederlechner
SC Freiburg,4500000,27,2018-06-05,152963,Florian Niederlechner
SC Freiburg,4500000,28,2018-12-18,152963,Florian Niederlechner
SC Freiburg,3500000,28,2019-06-05,152963,Florian Niederlechner
FC Augsburg,5000000,28,2019-10-02,152963,Florian Niederlechner
FC Augsburg,7000000,29,2019-12-17,152963,Florian Niederlechner
FC Augsburg,10000000,29,2020-03-11,152963,Florian Niederlechner
FC Augsburg,8000000,29,2020-04-08,152963,Florian Niederlechner
FC Augsburg,10000000,29,2020-07-08,152963,Florian Niederlechner
FC Augsburg,6000000,30,2021-02-10,152963,Florian Niederlechner
FC Augsburg,4000000,30,2021-06-09,152963,Florian Niederlechner
FC Augsburg,3000000,31,2021-12-22,152963,Florian Niederlechner
FC Augsburg,2200000,31,2022-06-09,152963,Florian Niederlechner
FC Augsburg,2200000,32,2022-11-09,152963,Florian Niederlechner
