club,marketValueUnformatted,age,data_date,player_id,Name
AS Monaco,400000,18,2015-07-12,329723,Gil Dias
Varzim SC,500000,19,2016-03-14,329723,Gil Dias
Rio Ave FC,500000,19,2016-07-29,329723,Gil Dias
Rio Ave FC,800000,20,2016-10-31,329723,Gil Dias
Rio Ave FC,1500000,20,2017-02-22,329723,Gil Dias
Rio Ave FC,2000000,20,2017-06-26,329723,Gil Dias
ACF Fiorentina,3000000,21,2017-12-29,329723,Gil Dias
ACF Fiorentina,3000000,21,2018-06-07,329723,Gil Dias
Olympiacos Piraeus,3000000,22,2019-02-07,329723,Gil Dias
Olympiacos Piraeus,2500000,22,2019-05-21,329723,Gil Dias
AS Monaco,4000000,23,2019-12-19,329723,Gil Dias
Granada CF,3200000,23,2020-04-08,329723,Gil Dias
FC Famalicão,3200000,24,2020-10-22,329723,Gil Dias
FC Famalicão,3000000,24,2021-01-28,329723,Gil Dias
FC Famalicão,3000000,24,2021-05-21,329723,Gil Dias
SL Benfica,3000000,25,2021-12-27,329723,Gil Dias
SL Benfica,3000000,25,2022-05-31,329723,Gil Dias
SL Benfica,2000000,26,2022-11-01,329723,Gil Dias
