club,marketValueUnformatted,age,data_date,player_id,Name
FC Liefering,75000,16,2016-02-01,321070,Hannes Wolf
FC Liefering,175000,17,2016-05-30,321070,Hannes Wolf
FC Liefering,350000,17,2016-12-03,321070,Hannes Wolf
FC Liefering,500000,18,2017-05-27,321070,Hannes Wolf
Red Bull Salzburg,800000,18,2017-08-01,321070,Hannes Wolf
Red Bull Salzburg,3000000,18,2017-10-11,321070,Hannes Wolf
Red Bull Salzburg,3000000,18,2018-01-02,321070,Hannes Wolf
Red Bull Salzburg,4000000,19,2018-06-14,321070,Hannes Wolf
Red Bull Salzburg,6000000,19,2018-10-25,321070,Hannes Wolf
Red Bull Salzburg,10000000,19,2018-12-19,321070,Hannes Wolf
Red Bull Salzburg,12000000,20,2019-06-03,321070,Hannes Wolf
RB Leipzig,12000000,20,2019-12-17,321070,Hannes Wolf
RB Leipzig,11000000,20,2020-04-08,321070,Hannes Wolf
Borussia Mönchengladbach,10000000,21,2020-09-16,321070,Hannes Wolf
Borussia Mönchengladbach,10000000,21,2021-02-10,321070,Hannes Wolf
Borussia Mönchengladbach,8000000,22,2021-06-09,321070,Hannes Wolf
Borussia Mönchengladbach,5000000,22,2021-12-22,321070,Hannes Wolf
Swansea City,5000000,23,2022-05-13,321070,Hannes Wolf
Borussia Mönchengladbach,4000000,23,2022-09-21,321070,Hannes Wolf
Borussia Mönchengladbach,4000000,23,2022-11-09,321070,Hannes Wolf
