club,marketValueUnformatted,age,data_date,player_id,Name
Fortuna Düsseldorf,200000,19,2013-07-25,237164,Ihlas Bebou
Fortuna Düsseldorf,200000,19,2014-01-20,237164,Ihlas Bebou
Fortuna Düsseldorf,200000,19,2014-03-31,237164,Ihlas Bebou
Fortuna Düsseldorf,200000,20,2014-06-30,237164,Ihlas Bebou
Fortuna Düsseldorf,150000,20,2015-01-13,237164,Ihlas Bebou
Fortuna Düsseldorf,400000,21,2015-07-01,237164,Ihlas Bebou
Fortuna Düsseldorf,550000,21,2016-02-11,237164,Ihlas Bebou
Fortuna Düsseldorf,500000,22,2016-07-22,237164,Ihlas Bebou
Fortuna Düsseldorf,800000,22,2016-10-06,237164,Ihlas Bebou
Fortuna Düsseldorf,1000000,22,2017-01-23,237164,Ihlas Bebou
Fortuna Düsseldorf,1500000,23,2017-06-27,237164,Ihlas Bebou
Hannover 96,4000000,23,2017-10-18,237164,Ihlas Bebou
Hannover 96,5000000,23,2017-12-28,237164,Ihlas Bebou
Hannover 96,7500000,23,2018-04-04,237164,Ihlas Bebou
Hannover 96,8500000,24,2018-06-05,237164,Ihlas Bebou
Hannover 96,12000000,24,2018-12-18,237164,Ihlas Bebou
Hannover 96,12000000,25,2019-06-05,237164,Ihlas Bebou
TSG 1899 Hoffenheim,12000000,25,2019-12-17,237164,Ihlas Bebou
TSG 1899 Hoffenheim,10000000,25,2020-03-11,237164,Ihlas Bebou
TSG 1899 Hoffenheim,8000000,25,2020-04-08,237164,Ihlas Bebou
TSG 1899 Hoffenheim,9000000,26,2021-02-10,237164,Ihlas Bebou
TSG 1899 Hoffenheim,14000000,26,2021-03-31,237164,Ihlas Bebou
TSG 1899 Hoffenheim,16000000,27,2021-06-09,237164,Ihlas Bebou
TSG 1899 Hoffenheim,16000000,27,2021-12-22,237164,Ihlas Bebou
TSG 1899 Hoffenheim,16000000,28,2022-06-09,237164,Ihlas Bebou
TSG 1899 Hoffenheim,11000000,28,2022-11-09,237164,Ihlas Bebou
TSG 1899 Hoffenheim,7000000,28,2023-03-29,237164,Ihlas Bebou
