club,marketValueUnformatted,age,data_date,player_id,Name
Borussia Dortmund,250000,18,2017-07-12,293281,Jacob Bruun Larsen
Borussia Dortmund,500000,19,2017-12-28,293281,Jacob Bruun Larsen
VfB Stuttgart,500000,19,2018-06-05,293281,Jacob Bruun Larsen
Borussia Dortmund,1500000,19,2018-08-22,293281,Jacob Bruun Larsen
Borussia Dortmund,15000000,20,2018-10-22,293281,Jacob Bruun Larsen
Borussia Dortmund,20000000,20,2018-12-18,293281,Jacob Bruun Larsen
Borussia Dortmund,15000000,20,2019-06-05,293281,Jacob Bruun Larsen
Borussia Dortmund,12000000,21,2019-12-17,293281,Jacob Bruun Larsen
TSG 1899 Hoffenheim,11000000,21,2020-04-08,293281,Jacob Bruun Larsen
TSG 1899 Hoffenheim,8000000,21,2020-09-16,293281,Jacob Bruun Larsen
RSC Anderlecht,6400000,22,2021-03-17,293281,Jacob Bruun Larsen
RSC Anderlecht,5500000,22,2021-06-07,293281,Jacob Bruun Larsen
TSG 1899 Hoffenheim,6500000,23,2021-10-07,293281,Jacob Bruun Larsen
TSG 1899 Hoffenheim,6500000,23,2021-12-22,293281,Jacob Bruun Larsen
TSG 1899 Hoffenheim,6000000,23,2022-06-09,293281,Jacob Bruun Larsen
TSG 1899 Hoffenheim,4000000,24,2022-11-09,293281,Jacob Bruun Larsen
