club,marketValueUnformatted,age,data_date,player_id,Name
Lech Poznan,50000,16,2019-01-25,407098,Jakub Kaminski
Lech Poznan,150000,17,2019-06-29,407098,Jakub Kaminski
Lech Poznan,350000,17,2020-01-15,407098,Jakub Kaminski
Lech Poznan,325000,17,2020-04-08,407098,Jakub Kaminski
Lech Poznan,3000000,18,2020-08-18,407098,Jakub Kaminski
Lech Poznan,6000000,18,2021-01-15,407098,Jakub Kaminski
Lech Poznan,5000000,18,2021-05-21,407098,Jakub Kaminski
Lech Poznan,6000000,19,2021-10-15,407098,Jakub Kaminski
Lech Poznan,10000000,19,2021-12-31,407098,Jakub Kaminski
Lech Poznan,10000000,20,2022-06-14,407098,Jakub Kaminski
VfL Wolfsburg,10000000,20,2022-11-09,407098,Jakub Kaminski
