club,marketValueUnformatted,age,data_date,player_id,Name
SpVgg Greuther Fürth,250000,18,2019-09-25,518505,Jamie Leweling
SpVgg Greuther Fürth,400000,18,2019-12-13,518505,Jamie Leweling
SpVgg Greuther Fürth,1000000,19,2020-04-02,518505,Jamie Leweling
SpVgg Greuther Fürth,900000,19,2020-04-08,518505,Jamie Leweling
SpVgg Greuther Fürth,1200000,19,2020-07-15,518505,Jamie Leweling
SpVgg Greuther Fürth,1800000,19,2021-02-08,518505,Jamie Leweling
SpVgg Greuther Fürth,1500000,20,2021-06-16,518505,Jamie Leweling
SpVgg Greuther Fürth,2000000,20,2021-12-22,518505,Jamie Leweling
SpVgg Greuther Fürth,4500000,21,2022-03-24,518505,Jamie Leweling
SpVgg Greuther Fürth,4500000,21,2022-06-09,518505,Jamie Leweling
1.FC Union Berlin,4500000,21,2022-11-09,518505,Jamie Leweling
1.FC Union Berlin,3500000,22,2023-03-29,518505,Jamie Leweling
