club,marketValueUnformatted,age,data_date,player_id,Name
1.FC Köln U19,250000,17,2019-12-17,472249,Jan Thielmann
1. FC Köln,2500000,17,2020-02-11,472249,Jan Thielmann
1. FC Köln,2300000,17,2020-04-08,472249,Jan Thielmann
1. FC Köln,4000000,18,2021-02-10,472249,Jan Thielmann
1. FC Köln,4000000,19,2021-06-09,472249,Jan Thielmann
1. FC Köln,5500000,19,2021-10-07,472249,Jan Thielmann
1. FC Köln,5500000,19,2021-12-22,472249,Jan Thielmann
1. FC Köln,7500000,20,2022-06-09,472249,Jan Thielmann
1. FC Köln,9000000,20,2022-09-21,472249,Jan Thielmann
1. FC Köln,9000000,20,2022-11-09,472249,Jan Thielmann
1. FC Köln,7500000,20,2023-03-29,472249,Jan Thielmann
