club,marketValueUnformatted,age,data_date,player_id,Name
Hertha BSC II,150000,18,2019-07-01,448177,Jessic Ngankam
Hertha BSC II,250000,19,2019-12-02,448177,Jessic Ngankam
Hertha BSC II,300000,19,2020-04-06,448177,Jessic Ngankam
Hertha BSC,600000,19,2020-07-08,448177,Jessic Ngankam
Hertha BSC,1000000,20,2020-11-26,448177,Jessic Ngankam
Hertha BSC,1200000,20,2021-02-10,448177,Jessic Ngankam
Hertha BSC,1200000,20,2021-06-09,448177,Jessic Ngankam
SpVgg Greuther Fürth,1200000,21,2021-12-22,448177,Jessic Ngankam
SpVgg Greuther Fürth,2000000,21,2022-06-09,448177,Jessic Ngankam
Hertha BSC,2000000,22,2022-11-09,448177,Jessic Ngankam
Hertha BSC,3500000,22,2023-03-29,448177,Jessic Ngankam
