club,marketValueUnformatted,age,data_date,player_id,Name
Borussia Dortmund II,50000,18,2011-07-01,7161,Jonas Hofmann
Borussia Dortmund II,100000,19,2012-01-20,7161,Jonas Hofmann
Borussia Dortmund II,125000,19,2012-02-06,7161,Jonas Hofmann
Borussia Dortmund II,150000,19,2012-07-05,7161,Jonas Hofmann
Borussia Dortmund II,200000,20,2012-10-23,7161,Jonas Hofmann
Borussia Dortmund II,500000,20,2013-06-30,7161,Jonas Hofmann
Borussia Dortmund,1000000,21,2013-08-27,7161,Jonas Hofmann
Borussia Dortmund,3000000,21,2013-11-05,7161,Jonas Hofmann
Borussia Dortmund,4000000,21,2014-07-10,7161,Jonas Hofmann
1.FSV Mainz 05,4000000,22,2015-02-04,7161,Jonas Hofmann
Borussia Dortmund,4000000,22,2015-07-01,7161,Jonas Hofmann
Borussia Mönchengladbach,6000000,23,2016-02-15,7161,Jonas Hofmann
Borussia Mönchengladbach,5000000,24,2016-07-22,7161,Jonas Hofmann
Borussia Mönchengladbach,4000000,24,2016-10-13,7161,Jonas Hofmann
Borussia Mönchengladbach,3500000,24,2017-02-07,7161,Jonas Hofmann
Borussia Mönchengladbach,3500000,24,2017-06-19,7161,Jonas Hofmann
Borussia Mönchengladbach,3000000,25,2017-12-28,7161,Jonas Hofmann
Borussia Mönchengladbach,3000000,25,2018-06-05,7161,Jonas Hofmann
Borussia Mönchengladbach,8000000,26,2018-10-22,7161,Jonas Hofmann
Borussia Mönchengladbach,12000000,26,2018-12-18,7161,Jonas Hofmann
Borussia Mönchengladbach,9000000,26,2019-06-05,7161,Jonas Hofmann
Borussia Mönchengladbach,9000000,27,2019-12-17,7161,Jonas Hofmann
Borussia Mönchengladbach,7000000,27,2020-04-08,7161,Jonas Hofmann
Borussia Mönchengladbach,9000000,27,2020-07-08,7161,Jonas Hofmann
Borussia Mönchengladbach,14000000,28,2020-11-26,7161,Jonas Hofmann
Borussia Mönchengladbach,16000000,28,2021-02-10,7161,Jonas Hofmann
Borussia Mönchengladbach,16000000,28,2021-06-01,7161,Jonas Hofmann
Borussia Mönchengladbach,16000000,29,2021-12-22,7161,Jonas Hofmann
Borussia Mönchengladbach,13000000,29,2022-06-09,7161,Jonas Hofmann
Borussia Mönchengladbach,13000000,30,2022-11-09,7161,Jonas Hofmann
