club,marketValueUnformatted,age,data_date,player_id,Name
FC Copenhagen U19,50000,18,2017-09-06,391004,Jonas Wind
FC Copenhagen,100000,19,2018-02-07,391004,Jonas Wind
FC Copenhagen,300000,19,2018-06-02,391004,Jonas Wind
FC Copenhagen,400000,19,2018-12-21,391004,Jonas Wind
FC Copenhagen,1750000,20,2019-06-08,391004,Jonas Wind
FC Copenhagen,2500000,20,2019-09-09,391004,Jonas Wind
FC Copenhagen,2500000,20,2019-12-22,391004,Jonas Wind
FC Copenhagen,2300000,21,2020-04-08,391004,Jonas Wind
FC Copenhagen,2500000,21,2020-07-31,391004,Jonas Wind
FC Copenhagen,4500000,21,2020-12-23,391004,Jonas Wind
FC Copenhagen,5000000,22,2021-05-26,391004,Jonas Wind
FC Copenhagen,7000000,22,2021-10-06,391004,Jonas Wind
FC Copenhagen,7000000,22,2021-12-28,391004,Jonas Wind
VfL Wolfsburg,10000000,23,2022-03-24,391004,Jonas Wind
VfL Wolfsburg,14000000,23,2022-06-09,391004,Jonas Wind
VfL Wolfsburg,14000000,23,2022-11-09,391004,Jonas Wind
