club,marketValueUnformatted,age,data_date,player_id,Name
Stade Reims,250000,19,2015-09-15,355369,Jordan
Stade Reims,1250000,19,2016-02-04,355369,Jordan
Stade Reims,1250000,20,2016-07-13,355369,Jordan
LB Châteauroux,850000,20,2017-02-20,355369,Jordan
LB Châteauroux,850000,21,2017-06-20,355369,Jordan
Stade Reims,2500000,22,2018-05-16,355369,Jordan
Stade Rennais FC,7000000,22,2018-09-06,355369,Jordan
Stade Rennais FC,7000000,22,2018-12-17,355369,Jordan
Stade Rennais FC,6000000,23,2019-06-03,355369,Jordan
Stade Rennais FC,4500000,23,2019-12-19,355369,Jordan
Stade Rennais FC,3500000,23,2020-04-08,355369,Jordan
BSC Young Boys,3500000,24,2020-12-28,355369,Jordan
BSC Young Boys,4500000,24,2021-04-15,355369,Jordan
BSC Young Boys,5000000,25,2021-06-23,355369,Jordan
BSC Young Boys,5000000,25,2022-01-03,355369,Jordan
BSC Young Boys,7000000,26,2022-06-08,355369,Jordan
1.FC Union Berlin,10000000,26,2022-09-21,355369,Jordan
1.FC Union Berlin,10000000,26,2022-11-09,355369,Jordan
1.FC Union Berlin,9000000,26,2023-03-29,355369,Jordan
