club,marketValueUnformatted,age,data_date,player_id,Name
Panathinaikos Athens,200000,19,2019-09-23,496767,Juan José Perea
Panathinaikos Athens,350000,19,2019-12-18,496767,Juan José Perea
Panathinaikos Athens,325000,20,2020-04-08,496767,Juan José Perea
Panathinaikos Athens,500000,20,2020-08-04,496767,Juan José Perea
Volos NPS,600000,20,2021-02-12,496767,Juan José Perea
PAS Giannina,600000,21,2021-11-01,496767,Juan José Perea
PAS Giannina,800000,21,2022-02-22,496767,Juan José Perea
PAS Giannina,1200000,22,2022-06-09,496767,Juan José Perea
VfB Stuttgart,2400000,22,2022-09-21,496767,Juan José Perea
VfB Stuttgart,2400000,22,2022-11-09,496767,Juan José Perea
