club,marketValueUnformatted,age,data_date,player_id,Name
FC Liefering,1500000,16,2018-07-02,496094,Karim Adeyemi
FC Liefering,1500000,16,2018-12-01,496094,Karim Adeyemi
FC Liefering,1500000,17,2019-06-01,496094,Karim Adeyemi
FC Liefering,7500000,17,2019-12-03,496094,Karim Adeyemi
Red Bull Salzburg,6700000,18,2020-04-08,496094,Karim Adeyemi
Red Bull Salzburg,9000000,18,2020-07-22,496094,Karim Adeyemi
Red Bull Salzburg,9000000,18,2020-12-21,496094,Karim Adeyemi
Red Bull Salzburg,10000000,19,2021-06-02,496094,Karim Adeyemi
Red Bull Salzburg,20000000,19,2021-09-06,496094,Karim Adeyemi
Red Bull Salzburg,35000000,19,2021-12-16,496094,Karim Adeyemi
Red Bull Salzburg,35000000,20,2022-05-27,496094,Karim Adeyemi
Borussia Dortmund,35000000,20,2022-11-09,496094,Karim Adeyemi
