club,marketValueUnformatted,age,data_date,player_id,Name
Eintracht Braunschweig II,50000,19,2010-04-02,61087,Karim Bellarabi
Eintracht Braunschweig,150000,20,2010-08-31,61087,Karim Bellarabi
Eintracht Braunschweig,250000,20,2010-09-28,61087,Karim Bellarabi
Eintracht Braunschweig,350000,20,2010-10-19,61087,Karim Bellarabi
Eintracht Braunschweig,600000,20,2011-01-17,61087,Karim Bellarabi
Eintracht Braunschweig,1000000,21,2011-05-30,61087,Karim Bellarabi
Bayer 04 Leverkusen,750000,21,2012-01-23,61087,Karim Bellarabi
Bayer 04 Leverkusen,1000000,22,2012-06-29,61087,Karim Bellarabi
Bayer 04 Leverkusen,2000000,22,2012-10-23,61087,Karim Bellarabi
Bayer 04 Leverkusen,2500000,22,2013-01-13,61087,Karim Bellarabi
Bayer 04 Leverkusen,2500000,23,2013-06-30,61087,Karim Bellarabi
Bayer 04 Leverkusen,2500000,24,2014-07-10,61087,Karim Bellarabi
Bayer 04 Leverkusen,8000000,24,2014-11-03,61087,Karim Bellarabi
Bayer 04 Leverkusen,8000000,24,2015-02-04,61087,Karim Bellarabi
Bayer 04 Leverkusen,12000000,25,2015-07-01,61087,Karim Bellarabi
Bayer 04 Leverkusen,16000000,25,2015-10-16,61087,Karim Bellarabi
Bayer 04 Leverkusen,16000000,25,2016-02-15,61087,Karim Bellarabi
Bayer 04 Leverkusen,22000000,26,2016-07-22,61087,Karim Bellarabi
Bayer 04 Leverkusen,22000000,26,2017-02-07,61087,Karim Bellarabi
Bayer 04 Leverkusen,18000000,27,2017-06-19,61087,Karim Bellarabi
Bayer 04 Leverkusen,14000000,27,2017-12-28,61087,Karim Bellarabi
Bayer 04 Leverkusen,12000000,28,2018-06-05,61087,Karim Bellarabi
Bayer 04 Leverkusen,10000000,28,2018-08-22,61087,Karim Bellarabi
Bayer 04 Leverkusen,12000000,28,2018-12-18,61087,Karim Bellarabi
Bayer 04 Leverkusen,15000000,28,2019-03-06,61087,Karim Bellarabi
Bayer 04 Leverkusen,15000000,29,2019-06-05,61087,Karim Bellarabi
Bayer 04 Leverkusen,15000000,29,2019-12-17,61087,Karim Bellarabi
Bayer 04 Leverkusen,12000000,30,2020-04-08,61087,Karim Bellarabi
Bayer 04 Leverkusen,7000000,30,2021-02-10,61087,Karim Bellarabi
Bayer 04 Leverkusen,4500000,31,2021-06-09,61087,Karim Bellarabi
Bayer 04 Leverkusen,3500000,31,2021-12-22,61087,Karim Bellarabi
Bayer 04 Leverkusen,3000000,32,2022-06-09,61087,Karim Bellarabi
Bayer 04 Leverkusen,2500000,32,2022-11-09,61087,Karim Bellarabi
