club,marketValueUnformatted,age,data_date,player_id,Name
First Vienna FC,50000,17,2009-07-14,119234,Karim Onisiwo
SC Ostbahn XI,0,18,2011-02-08,119234,Karim Onisiwo
SV Mattersburg,175000,22,2014-07-09,119234,Karim Onisiwo
SV Mattersburg,375000,22,2014-11-22,119234,Karim Onisiwo
SV Mattersburg,500000,23,2015-06-19,119234,Karim Onisiwo
SV Mattersburg,800000,23,2015-10-02,119234,Karim Onisiwo
SV Mattersburg,1500000,23,2015-12-29,119234,Karim Onisiwo
1.FSV Mainz 05,1500000,24,2016-07-22,119234,Karim Onisiwo
1.FSV Mainz 05,2000000,24,2017-02-07,119234,Karim Onisiwo
1.FSV Mainz 05,1500000,25,2017-06-19,119234,Karim Onisiwo
1.FSV Mainz 05,1000000,25,2017-12-28,119234,Karim Onisiwo
1.FSV Mainz 05,500000,26,2018-06-05,119234,Karim Onisiwo
1.FSV Mainz 05,800000,26,2018-12-18,119234,Karim Onisiwo
1.FSV Mainz 05,1500000,26,2019-03-06,119234,Karim Onisiwo
1.FSV Mainz 05,3500000,27,2019-06-05,119234,Karim Onisiwo
1.FSV Mainz 05,4500000,27,2019-12-17,119234,Karim Onisiwo
1.FSV Mainz 05,3500000,28,2020-04-08,119234,Karim Onisiwo
1.FSV Mainz 05,3500000,28,2021-02-10,119234,Karim Onisiwo
1.FSV Mainz 05,3500000,29,2021-05-27,119234,Karim Onisiwo
1.FSV Mainz 05,3500000,29,2021-12-22,119234,Karim Onisiwo
1.FSV Mainz 05,3500000,30,2022-06-09,119234,Karim Onisiwo
1.FSV Mainz 05,3500000,30,2022-11-09,119234,Karim Onisiwo
