club,marketValueUnformatted,age,data_date,player_id,Name
Ajax Amsterdam,300000,18,2016-07-15,283196,Kasper Dolberg
Ajax Amsterdam,2000000,19,2016-10-17,283196,Kasper Dolberg
Ajax Amsterdam,8000000,19,2017-01-18,283196,Kasper Dolberg
Ajax Amsterdam,14000000,19,2017-06-07,283196,Kasper Dolberg
Ajax Amsterdam,14000000,20,2018-01-17,283196,Kasper Dolberg
Ajax Amsterdam,12000000,20,2018-06-12,283196,Kasper Dolberg
Ajax Amsterdam,17000000,21,2018-12-28,283196,Kasper Dolberg
Ajax Amsterdam,22000000,21,2019-03-13,283196,Kasper Dolberg
Ajax Amsterdam,18000000,21,2019-06-12,283196,Kasper Dolberg
OGC Nice,20000000,22,2019-12-19,283196,Kasper Dolberg
OGC Nice,16000000,22,2020-04-08,283196,Kasper Dolberg
OGC Nice,20000000,22,2020-08-03,283196,Kasper Dolberg
OGC Nice,23000000,23,2020-10-15,283196,Kasper Dolberg
OGC Nice,22000000,23,2021-04-09,283196,Kasper Dolberg
OGC Nice,20000000,23,2021-05-26,283196,Kasper Dolberg
OGC Nice,22000000,23,2021-07-15,283196,Kasper Dolberg
OGC Nice,20000000,24,2021-12-16,283196,Kasper Dolberg
OGC Nice,17000000,24,2022-05-30,283196,Kasper Dolberg
Sevilla FC,12000000,25,2022-11-07,283196,Kasper Dolberg
TSG 1899 Hoffenheim,9000000,25,2023-03-29,283196,Kasper Dolberg
