club,marketValueUnformatted,age,data_date,player_id,Name
WSG Wattens,75000,18,2018-07-02,589737,Kelvin Yeboah
WSG Wattens,125000,18,2018-12-01,589737,Kelvin Yeboah
WSG Wattens,150000,19,2019-06-01,589737,Kelvin Yeboah
WSG Tirol,400000,19,2019-12-16,589737,Kelvin Yeboah
WSG Tirol,350000,19,2020-04-08,589737,Kelvin Yeboah
WSG Tirol,400000,20,2020-07-22,589737,Kelvin Yeboah
WSG Tirol,500000,20,2020-12-21,589737,Kelvin Yeboah
SK Sturm Graz,700000,20,2021-03-24,589737,Kelvin Yeboah
SK Sturm Graz,1700000,21,2021-06-02,589737,Kelvin Yeboah
SK Sturm Graz,3500000,21,2021-09-06,589737,Kelvin Yeboah
SK Sturm Graz,4000000,21,2021-12-16,589737,Kelvin Yeboah
Genoa CFC,5500000,21,2022-03-15,589737,Kelvin Yeboah
Genoa CFC,5000000,22,2022-06-07,589737,Kelvin Yeboah
Genoa CFC,3500000,22,2022-12-22,589737,Kelvin Yeboah
