club,marketValueUnformatted,age,data_date,player_id,Name
TSG 1899 Hoffenheim II,25000,18,2012-07-15,119557,Kenan Karaman
TSG 1899 Hoffenheim,100000,19,2013-07-25,119557,Kenan Karaman
Hannover 96,250000,20,2014-07-10,119557,Kenan Karaman
Hannover 96,400000,20,2015-02-04,119557,Kenan Karaman
Hannover 96,400000,21,2015-07-01,119557,Kenan Karaman
Hannover 96,1000000,21,2015-10-16,119557,Kenan Karaman
Hannover 96,1250000,21,2016-02-15,119557,Kenan Karaman
Hannover 96,1250000,22,2016-07-22,119557,Kenan Karaman
Hannover 96,1750000,22,2017-01-23,119557,Kenan Karaman
Hannover 96,1750000,23,2017-06-27,119557,Kenan Karaman
Hannover 96,1500000,23,2017-12-28,119557,Kenan Karaman
Hannover 96,1500000,24,2018-06-05,119557,Kenan Karaman
Fortuna Düsseldorf,1500000,24,2018-12-18,119557,Kenan Karaman
Fortuna Düsseldorf,2500000,25,2019-06-05,119557,Kenan Karaman
Fortuna Düsseldorf,2500000,25,2019-12-17,119557,Kenan Karaman
Fortuna Düsseldorf,2000000,26,2020-04-08,119557,Kenan Karaman
Fortuna Düsseldorf,3500000,26,2020-07-08,119557,Kenan Karaman
Fortuna Düsseldorf,2500000,26,2020-11-18,119557,Kenan Karaman
Fortuna Düsseldorf,2500000,26,2021-02-08,119557,Kenan Karaman
Fortuna Düsseldorf,2500000,27,2021-05-25,119557,Kenan Karaman
Besiktas JK,2400000,27,2021-10-12,119557,Kenan Karaman
Besiktas JK,1900000,27,2022-01-04,119557,Kenan Karaman
Besiktas JK,1500000,28,2022-03-31,119557,Kenan Karaman
Besiktas JK,1400000,28,2022-06-01,119557,Kenan Karaman
FC Schalke 04,1400000,28,2022-11-09,119557,Kenan Karaman
