club,marketValueUnformatted,age,data_date,player_id,Name
SV Wilhelmshaven,50000,20,2011-08-08,117432,Kevin Behrens
SV Wilhelmshaven,75000,20,2011-10-15,117432,Kevin Behrens
SV Wilhelmshaven,100000,21,2012-02-03,117432,Kevin Behrens
Hannover 96 II,100000,21,2012-07-31,117432,Kevin Behrens
Hannover 96 II,125000,21,2012-10-18,117432,Kevin Behrens
Hannover 96 II,125000,21,2013-01-24,117432,Kevin Behrens
Hannover 96 II,150000,22,2013-07-30,117432,Kevin Behrens
Hannover 96 II,150000,22,2013-10-21,117432,Kevin Behrens
Hannover 96 II,100000,22,2014-01-02,117432,Kevin Behrens
Hannover 96 II,100000,23,2014-02-20,117432,Kevin Behrens
Alemannia Aachen,125000,23,2014-07-27,117432,Kevin Behrens
Alemannia Aachen,125000,23,2015-01-01,117432,Kevin Behrens
Alemannia Aachen,150000,24,2015-06-30,117432,Kevin Behrens
Rot-Weiss Essen,125000,24,2016-01-15,117432,Kevin Behrens
1.FC Saarbrücken,75000,25,2016-02-13,117432,Kevin Behrens
1.FC Saarbrücken,75000,25,2016-08-09,117432,Kevin Behrens
1.FC Saarbrücken,150000,26,2017-02-06,117432,Kevin Behrens
1.FC Saarbrücken,175000,26,2017-08-21,117432,Kevin Behrens
1.FC Saarbrücken,200000,27,2018-02-04,117432,Kevin Behrens
SV Sandhausen,300000,27,2018-08-21,117432,Kevin Behrens
SV Sandhausen,400000,27,2018-10-16,117432,Kevin Behrens
SV Sandhausen,400000,27,2019-01-08,117432,Kevin Behrens
SV Sandhausen,450000,28,2019-06-12,117432,Kevin Behrens
SV Sandhausen,550000,28,2019-09-25,117432,Kevin Behrens
SV Sandhausen,850000,28,2019-12-13,117432,Kevin Behrens
SV Sandhausen,675000,29,2020-04-08,117432,Kevin Behrens
SV Sandhausen,800000,29,2020-07-15,117432,Kevin Behrens
SV Sandhausen,1000000,29,2020-11-18,117432,Kevin Behrens
SV Sandhausen,900000,30,2021-02-08,117432,Kevin Behrens
SV Sandhausen,900000,30,2021-06-16,117432,Kevin Behrens
1.FC Union Berlin,1000000,30,2021-12-22,117432,Kevin Behrens
1.FC Union Berlin,900000,31,2022-06-09,117432,Kevin Behrens
1.FC Union Berlin,900000,31,2022-11-09,117432,Kevin Behrens
1.FC Union Berlin,1500000,32,2023-03-29,117432,Kevin Behrens
