club,marketValueUnformatted,age,data_date,player_id,Name
Paris Saint-Germain,500000,17,2013-09-24,243714,Kingsley Coman
Paris Saint-Germain,750000,17,2014-01-14,243714,Kingsley Coman
Juventus FC,1000000,18,2014-09-11,243714,Kingsley Coman
Juventus FC,2500000,18,2015-01-07,243714,Kingsley Coman
Juventus FC,3500000,19,2015-07-01,243714,Kingsley Coman
Bayern Munich,10000000,19,2015-10-16,243714,Kingsley Coman
Bayern Munich,15000000,19,2016-02-15,243714,Kingsley Coman
Bayern Munich,17000000,19,2016-06-01,243714,Kingsley Coman
Bayern Munich,20000000,20,2016-07-22,243714,Kingsley Coman
Bayern Munich,20000000,20,2017-02-07,243714,Kingsley Coman
Bayern Munich,20000000,21,2017-06-19,243714,Kingsley Coman
Bayern Munich,35000000,21,2017-12-28,243714,Kingsley Coman
Bayern Munich,50000000,21,2018-04-04,243714,Kingsley Coman
Bayern Munich,50000000,21,2018-06-05,243714,Kingsley Coman
Bayern Munich,50000000,22,2018-12-18,243714,Kingsley Coman
Bayern Munich,50000000,22,2019-06-05,243714,Kingsley Coman
Bayern Munich,60000000,23,2019-10-02,243714,Kingsley Coman
Bayern Munich,60000000,23,2019-12-17,243714,Kingsley Coman
Bayern Munich,50000000,23,2020-03-11,243714,Kingsley Coman
Bayern Munich,40000000,23,2020-04-08,243714,Kingsley Coman
Bayern Munich,55000000,24,2021-02-10,243714,Kingsley Coman
Bayern Munich,65000000,24,2021-03-31,243714,Kingsley Coman
Bayern Munich,65000000,24,2021-06-01,243714,Kingsley Coman
Bayern Munich,55000000,25,2021-10-07,243714,Kingsley Coman
Bayern Munich,55000000,25,2021-12-22,243714,Kingsley Coman
Bayern Munich,60000000,25,2022-03-24,243714,Kingsley Coman
Bayern Munich,60000000,25,2022-06-09,243714,Kingsley Coman
Bayern Munich,60000000,26,2022-11-09,243714,Kingsley Coman
Bayern Munich,65000000,26,2023-03-29,243714,Kingsley Coman
