club,marketValueUnformatted,age,data_date,player_id,Name
FC Schalke 04 U19,300000,18,2014-04-22,192565,Leroy Sané
FC Schalke 04 U19,500000,18,2014-07-10,192565,Leroy Sané
FC Schalke 04 U19,1000000,19,2015-02-04,192565,Leroy Sané
FC Schalke 04 U19,1500000,19,2015-03-29,192565,Leroy Sané
FC Schalke 04,4000000,19,2015-07-01,192565,Leroy Sané
FC Schalke 04,8000000,19,2015-10-16,192565,Leroy Sané
FC Schalke 04,18000000,20,2016-02-15,192565,Leroy Sané
FC Schalke 04,18000000,20,2016-06-01,192565,Leroy Sané
FC Schalke 04,30000000,20,2016-07-22,192565,Leroy Sané
Manchester City,30000000,21,2017-02-20,192565,Leroy Sané
Manchester City,35000000,21,2017-06-28,192565,Leroy Sané
Manchester City,45000000,21,2017-10-23,192565,Leroy Sané
Manchester City,75000000,21,2018-01-02,192565,Leroy Sané
Manchester City,90000000,22,2018-05-28,192565,Leroy Sané
Manchester City,100000000,22,2018-12-19,192565,Leroy Sané
Manchester City,100000000,23,2019-06-13,192565,Leroy Sané
Manchester City,100000000,23,2019-12-10,192565,Leroy Sané
Manchester City,80000000,24,2020-04-08,192565,Leroy Sané
Bayern Munich,70000000,24,2020-09-16,192565,Leroy Sané
Bayern Munich,60000000,25,2021-02-10,192565,Leroy Sané
Bayern Munich,70000000,25,2021-03-31,192565,Leroy Sané
Bayern Munich,60000000,25,2021-06-01,192565,Leroy Sané
Bayern Munich,70000000,25,2021-12-22,192565,Leroy Sané
Bayern Munich,60000000,26,2022-06-09,192565,Leroy Sané
Bayern Munich,70000000,26,2022-11-09,192565,Leroy Sané
