club,marketValueUnformatted,age,data_date,player_id,Name
Hannover 96 U19,500000,18,2018-06-05,335103,Linton Maina
Hannover 96,1000000,19,2018-08-22,335103,Linton Maina
Hannover 96,3500000,19,2018-10-22,335103,Linton Maina
Hannover 96,4500000,19,2018-12-18,335103,Linton Maina
Hannover 96,7000000,19,2019-06-05,335103,Linton Maina
Hannover 96,7000000,20,2019-12-13,335103,Linton Maina
Hannover 96,6300000,20,2020-04-08,335103,Linton Maina
Hannover 96,9000000,21,2020-07-15,335103,Linton Maina
Hannover 96,7500000,21,2020-09-10,335103,Linton Maina
Hannover 96,4500000,21,2021-02-08,335103,Linton Maina
Hannover 96,3000000,21,2021-06-16,335103,Linton Maina
Hannover 96,2500000,22,2021-10-13,335103,Linton Maina
Hannover 96,2500000,22,2021-12-15,335103,Linton Maina
Hannover 96,1800000,22,2022-03-23,335103,Linton Maina
Hannover 96,1800000,22,2022-06-16,335103,Linton Maina
1. FC Köln,3500000,23,2022-11-09,335103,Linton Maina
1. FC Köln,4500000,23,2023-03-29,335103,Linton Maina
