club,marketValueUnformatted,age,data_date,player_id,Name
Stuttgarter Kickers,50000,19,2016-08-09,232463,Luca Pfeiffer
Stuttgarter Kickers,100000,20,2017-02-06,232463,Luca Pfeiffer
Stuttgarter Kickers,150000,21,2017-08-21,232463,Luca Pfeiffer
Stuttgarter Kickers,150000,21,2018-02-04,232463,Luca Pfeiffer
VfL Osnabrück,150000,21,2018-08-10,232463,Luca Pfeiffer
VfL Osnabrück,150000,22,2019-01-15,232463,Luca Pfeiffer
VfL Osnabrück,200000,22,2019-06-14,232463,Luca Pfeiffer
Würzburger Kickers,250000,23,2019-09-23,232463,Luca Pfeiffer
Würzburger Kickers,250000,23,2019-12-11,232463,Luca Pfeiffer
Würzburger Kickers,325000,23,2020-07-17,232463,Luca Pfeiffer
FC Midtjylland,400000,24,2020-12-23,232463,Luca Pfeiffer
FC Midtjylland,500000,24,2021-06-04,232463,Luca Pfeiffer
SV Darmstadt 98,700000,25,2021-10-13,232463,Luca Pfeiffer
SV Darmstadt 98,1700000,25,2021-12-15,232463,Luca Pfeiffer
SV Darmstadt 98,2000000,25,2022-06-16,232463,Luca Pfeiffer
VfB Stuttgart,2800000,26,2022-09-21,232463,Luca Pfeiffer
VfB Stuttgart,2800000,26,2022-11-09,232463,Luca Pfeiffer
VfB Stuttgart,2000000,26,2023-03-29,232463,Luca Pfeiffer
