club,marketValueUnformatted,age,data_date,player_id,Name
Eintracht Frankfurt,500000,17,2014-05-18,196095,Luca Waldschmidt
Eintracht Frankfurt,500000,18,2014-07-10,196095,Luca Waldschmidt
Eintracht Frankfurt,500000,18,2015-02-04,196095,Luca Waldschmidt
Eintracht Frankfurt,500000,19,2015-07-01,196095,Luca Waldschmidt
Eintracht Frankfurt,1000000,19,2015-10-16,196095,Luca Waldschmidt
Eintracht Frankfurt,1000000,19,2016-02-15,196095,Luca Waldschmidt
Hamburger SV,1500000,20,2016-07-22,196095,Luca Waldschmidt
Hamburger SV,1500000,20,2017-02-07,196095,Luca Waldschmidt
Hamburger SV,1500000,21,2017-06-19,196095,Luca Waldschmidt
Hamburger SV,1500000,21,2017-12-28,196095,Luca Waldschmidt
Hamburger SV,2500000,22,2018-06-05,196095,Luca Waldschmidt
SC Freiburg,4000000,22,2018-08-22,196095,Luca Waldschmidt
SC Freiburg,6000000,22,2018-12-18,196095,Luca Waldschmidt
SC Freiburg,10000000,22,2019-03-06,196095,Luca Waldschmidt
SC Freiburg,12000000,23,2019-06-05,196095,Luca Waldschmidt
SC Freiburg,20000000,23,2019-10-02,196095,Luca Waldschmidt
SC Freiburg,20000000,23,2019-12-17,196095,Luca Waldschmidt
SC Freiburg,16000000,23,2020-04-08,196095,Luca Waldschmidt
SL Benfica,16000000,24,2020-10-22,196095,Luca Waldschmidt
SL Benfica,17000000,24,2021-01-28,196095,Luca Waldschmidt
SL Benfica,15000000,25,2021-05-21,196095,Luca Waldschmidt
VfL Wolfsburg,12000000,25,2021-10-07,196095,Luca Waldschmidt
VfL Wolfsburg,10000000,25,2021-12-22,196095,Luca Waldschmidt
VfL Wolfsburg,7000000,25,2022-03-24,196095,Luca Waldschmidt
VfL Wolfsburg,7000000,26,2022-06-09,196095,Luca Waldschmidt
VfL Wolfsburg,4500000,26,2022-11-09,196095,Luca Waldschmidt
VfL Wolfsburg,3000000,26,2023-03-29,196095,Luca Waldschmidt
