club,marketValueUnformatted,age,data_date,player_id,Name
CA Colon,50000,20,2013-06-22,193782,Lucas Alario
CA River Plate,1500000,22,2015-07-14,193782,Lucas Alario
CA River Plate,5500000,23,2016-02-06,193782,Lucas Alario
CA River Plate,9000000,23,2016-08-08,193782,Lucas Alario
CA River Plate,12000000,24,2017-02-13,193782,Lucas Alario
Bayer 04 Leverkusen,20000000,25,2017-10-18,193782,Lucas Alario
Bayer 04 Leverkusen,20000000,25,2017-12-28,193782,Lucas Alario
Bayer 04 Leverkusen,20000000,25,2018-06-05,193782,Lucas Alario
Bayer 04 Leverkusen,17000000,26,2018-12-18,193782,Lucas Alario
Bayer 04 Leverkusen,17000000,26,2019-06-05,193782,Lucas Alario
Bayer 04 Leverkusen,17000000,27,2019-12-17,193782,Lucas Alario
Bayer 04 Leverkusen,13500000,27,2020-04-08,193782,Lucas Alario
Bayer 04 Leverkusen,20000000,28,2020-11-26,193782,Lucas Alario
Bayer 04 Leverkusen,20000000,28,2021-02-10,193782,Lucas Alario
Bayer 04 Leverkusen,20000000,28,2021-06-09,193782,Lucas Alario
Bayer 04 Leverkusen,15000000,28,2021-10-07,193782,Lucas Alario
Bayer 04 Leverkusen,10000000,29,2021-12-22,193782,Lucas Alario
Bayer 04 Leverkusen,8000000,29,2022-06-09,193782,Lucas Alario
Eintracht Frankfurt,6500000,29,2022-09-21,193782,Lucas Alario
Eintracht Frankfurt,5500000,30,2022-11-09,193782,Lucas Alario
Eintracht Frankfurt,4000000,30,2023-03-29,193782,Lucas Alario
