club,marketValueUnformatted,age,data_date,player_id,Name
VfB Oldenburg,50000,19,2013-07-30,248999,Lucas Höler
VfB Oldenburg,50000,19,2013-10-21,248999,Lucas Höler
VfB Oldenburg,75000,19,2014-02-20,248999,Lucas Höler
1.FSV Mainz 05 II,150000,20,2014-08-08,248999,Lucas Höler
1.FSV Mainz 05 II,150000,20,2015-03-07,248999,Lucas Höler
1.FSV Mainz 05 II,300000,20,2015-07-01,248999,Lucas Höler
1.FSV Mainz 05 II,300000,21,2015-10-29,248999,Lucas Höler
1.FSV Mainz 05 II,300000,21,2016-02-08,248999,Lucas Höler
SV Sandhausen,400000,22,2016-07-22,248999,Lucas Höler
SV Sandhausen,650000,22,2017-01-23,248999,Lucas Höler
SV Sandhausen,650000,22,2017-06-27,248999,Lucas Höler
SV Sandhausen,900000,23,2017-10-17,248999,Lucas Höler
SC Freiburg,1500000,23,2018-01-22,248999,Lucas Höler
SC Freiburg,2000000,23,2018-06-05,248999,Lucas Höler
SC Freiburg,3000000,24,2018-12-18,248999,Lucas Höler
SC Freiburg,3000000,24,2019-06-05,248999,Lucas Höler
SC Freiburg,4000000,25,2019-12-17,248999,Lucas Höler
SC Freiburg,3200000,25,2020-04-08,248999,Lucas Höler
SC Freiburg,4000000,25,2020-07-08,248999,Lucas Höler
SC Freiburg,4000000,26,2021-02-10,248999,Lucas Höler
SC Freiburg,4000000,26,2021-06-09,248999,Lucas Höler
SC Freiburg,5000000,27,2021-10-07,248999,Lucas Höler
SC Freiburg,6500000,27,2021-12-22,248999,Lucas Höler
SC Freiburg,6500000,27,2022-06-09,248999,Lucas Höler
SC Freiburg,5000000,28,2022-11-09,248999,Lucas Höler
