club,marketValueUnformatted,age,data_date,player_id,Name
Le Poiré-sur-Vie VF,150000,20,2014-11-20,283994,Ludovic Ajorque
Angers SCO,250000,22,2016-07-13,283994,Ludovic Ajorque
Clermont Foot 63,400000,23,2017-03-20,283994,Ludovic Ajorque
Clermont Foot 63,500000,23,2017-06-15,283994,Ludovic Ajorque
Clermont Foot 63,900000,24,2018-05-16,283994,Ludovic Ajorque
RC Strasbourg Alsace,1750000,24,2018-09-06,283994,Ludovic Ajorque
RC Strasbourg Alsace,1750000,24,2018-12-17,283994,Ludovic Ajorque
RC Strasbourg Alsace,3000000,25,2019-03-07,283994,Ludovic Ajorque
RC Strasbourg Alsace,4000000,25,2019-06-03,283994,Ludovic Ajorque
RC Strasbourg Alsace,6000000,25,2019-12-19,283994,Ludovic Ajorque
RC Strasbourg Alsace,8500000,26,2020-03-13,283994,Ludovic Ajorque
RC Strasbourg Alsace,6800000,26,2020-04-08,283994,Ludovic Ajorque
RC Strasbourg Alsace,7000000,26,2020-10-15,283994,Ludovic Ajorque
RC Strasbourg Alsace,8000000,26,2021-01-07,283994,Ludovic Ajorque
RC Strasbourg Alsace,10000000,27,2021-04-09,283994,Ludovic Ajorque
RC Strasbourg Alsace,12000000,27,2021-06-04,283994,Ludovic Ajorque
RC Strasbourg Alsace,15000000,27,2021-12-16,283994,Ludovic Ajorque
RC Strasbourg Alsace,16000000,28,2022-05-30,283994,Ludovic Ajorque
RC Strasbourg Alsace,14000000,28,2022-09-19,283994,Ludovic Ajorque
RC Strasbourg Alsace,11000000,28,2022-11-02,283994,Ludovic Ajorque
1.FSV Mainz 05,9000000,29,2023-03-29,283994,Ludovic Ajorque
