club,marketValueUnformatted,age,data_date,player_id,Name
Preston North End,500000,19,2018-09-24,314288,Lukas Nmecha
Preston North End,1000000,20,2019-02-27,314288,Lukas Nmecha
VfL Wolfsburg,4000000,21,2019-12-17,314288,Lukas Nmecha
Middlesbrough FC,4000000,21,2020-02-27,314288,Lukas Nmecha
Middlesbrough FC,3600000,21,2020-04-08,314288,Lukas Nmecha
RSC Anderlecht,4500000,21,2020-10-16,314288,Lukas Nmecha
RSC Anderlecht,8000000,22,2021-01-04,314288,Lukas Nmecha
RSC Anderlecht,12000000,22,2021-06-07,314288,Lukas Nmecha
VfL Wolfsburg,18000000,23,2021-12-22,314288,Lukas Nmecha
VfL Wolfsburg,18000000,23,2022-06-09,314288,Lukas Nmecha
VfL Wolfsburg,18000000,23,2022-11-09,314288,Lukas Nmecha
VfL Wolfsburg,14000000,24,2023-03-29,314288,Lukas Nmecha
