club,marketValueUnformatted,age,data_date,player_id,Name
FC Augsburg II,75000,18,2016-08-23,279009,Marco Richter
FC Augsburg,100000,19,2017-07-12,279009,Marco Richter
FC Augsburg,200000,20,2017-12-28,279009,Marco Richter
FC Augsburg,1000000,20,2018-06-05,279009,Marco Richter
FC Augsburg,4000000,20,2018-10-22,279009,Marco Richter
FC Augsburg,4500000,21,2018-12-18,279009,Marco Richter
FC Augsburg,7000000,21,2019-06-05,279009,Marco Richter
FC Augsburg,10000000,21,2019-10-02,279009,Marco Richter
FC Augsburg,10000000,22,2019-12-17,279009,Marco Richter
FC Augsburg,8000000,22,2020-04-08,279009,Marco Richter
FC Augsburg,6000000,23,2020-11-26,279009,Marco Richter
FC Augsburg,6000000,23,2021-02-10,279009,Marco Richter
FC Augsburg,5000000,23,2021-06-09,279009,Marco Richter
Hertha BSC,7000000,24,2021-12-22,279009,Marco Richter
Hertha BSC,6000000,24,2022-06-09,279009,Marco Richter
Hertha BSC,6000000,24,2022-11-09,279009,Marco Richter
