club,marketValueUnformatted,age,data_date,player_id,Name
FC Nordsjaelland,50000,19,2015-02-06,269878,Marcus Ingvartsen
FC Nordsjaelland,250000,19,2015-09-02,269878,Marcus Ingvartsen
FC Nordsjaelland,350000,20,2016-01-21,269878,Marcus Ingvartsen
FC Nordsjaelland,400000,20,2016-08-12,269878,Marcus Ingvartsen
FC Nordsjaelland,800000,20,2016-12-12,269878,Marcus Ingvartsen
FC Nordsjaelland,1250000,21,2017-03-27,269878,Marcus Ingvartsen
FC Nordsjaelland,1750000,21,2017-06-21,269878,Marcus Ingvartsen
KRC Genk,3500000,21,2017-10-20,269878,Marcus Ingvartsen
KRC Genk,3500000,22,2018-01-09,269878,Marcus Ingvartsen
KRC Genk,2500000,22,2018-06-03,269878,Marcus Ingvartsen
KRC Genk,2200000,22,2018-12-27,269878,Marcus Ingvartsen
KRC Genk,1800000,23,2019-03-04,269878,Marcus Ingvartsen
KRC Genk,1500000,23,2019-06-10,269878,Marcus Ingvartsen
1.FC Union Berlin,2000000,23,2019-12-17,269878,Marcus Ingvartsen
1.FC Union Berlin,1600000,24,2020-04-08,269878,Marcus Ingvartsen
1.FC Union Berlin,3000000,24,2020-07-08,269878,Marcus Ingvartsen
1.FC Union Berlin,3500000,25,2021-02-10,269878,Marcus Ingvartsen
1.FC Union Berlin,3500000,25,2021-06-09,269878,Marcus Ingvartsen
1.FSV Mainz 05,3000000,25,2021-12-22,269878,Marcus Ingvartsen
1.FSV Mainz 05,2500000,26,2022-06-09,269878,Marcus Ingvartsen
1.FSV Mainz 05,3500000,26,2022-11-09,269878,Marcus Ingvartsen
1.FSV Mainz 05,4500000,27,2023-03-29,269878,Marcus Ingvartsen
