club,marketValueUnformatted,age,data_date,player_id,Name
FC Sochaux-Montbéliard,300000,18,2015-09-06,318528,Marcus Thuram
FC Sochaux-Montbéliard,300000,18,2016-02-04,318528,Marcus Thuram
FC Sochaux-Montbéliard,300000,18,2016-07-13,318528,Marcus Thuram
FC Sochaux-Montbéliard,300000,19,2017-03-20,318528,Marcus Thuram
FC Sochaux-Montbéliard,600000,19,2017-06-15,318528,Marcus Thuram
EA Guingamp,2000000,20,2018-01-24,318528,Marcus Thuram
EA Guingamp,2000000,20,2018-06-04,318528,Marcus Thuram
EA Guingamp,3000000,21,2018-10-24,318528,Marcus Thuram
EA Guingamp,4500000,21,2018-12-17,318528,Marcus Thuram
EA Guingamp,9000000,21,2019-03-07,318528,Marcus Thuram
EA Guingamp,9000000,21,2019-06-03,318528,Marcus Thuram
Borussia Mönchengladbach,12000000,22,2019-10-02,318528,Marcus Thuram
Borussia Mönchengladbach,28000000,22,2019-12-17,318528,Marcus Thuram
Borussia Mönchengladbach,22500000,22,2020-04-08,318528,Marcus Thuram
Borussia Mönchengladbach,32000000,22,2020-07-08,318528,Marcus Thuram
Borussia Mönchengladbach,40000000,23,2020-11-26,318528,Marcus Thuram
Borussia Mönchengladbach,40000000,23,2021-02-10,318528,Marcus Thuram
Borussia Mönchengladbach,35000000,23,2021-03-31,318528,Marcus Thuram
Borussia Mönchengladbach,35000000,23,2021-06-01,318528,Marcus Thuram
Borussia Mönchengladbach,28000000,24,2021-10-07,318528,Marcus Thuram
Borussia Mönchengladbach,28000000,24,2021-12-22,318528,Marcus Thuram
Borussia Mönchengladbach,20000000,24,2022-03-24,318528,Marcus Thuram
Borussia Mönchengladbach,20000000,24,2022-06-09,318528,Marcus Thuram
Borussia Mönchengladbach,30000000,25,2022-11-09,318528,Marcus Thuram
Borussia Mönchengladbach,32000000,25,2022-12-23,318528,Marcus Thuram
