club,marketValueUnformatted,age,data_date,player_id,Name
1.FC Köln II,100000,18,2010-07-15,112935,Mark Uth
1.FC Köln II,125000,19,2011-04-07,112935,Mark Uth
1. FC Köln,150000,20,2011-10-15,112935,Mark Uth
1. FC Köln,150000,20,2012-01-23,112935,Mark Uth
1. FC Köln,150000,20,2012-06-29,112935,Mark Uth
SC Heerenveen,150000,21,2013-06-12,112935,Mark Uth
Heracles Almelo,500000,22,2014-02-11,112935,Mark Uth
SC Heerenveen,750000,22,2014-08-11,112935,Mark Uth
SC Heerenveen,1250000,23,2014-11-02,112935,Mark Uth
SC Heerenveen,1750000,23,2015-02-16,112935,Mark Uth
SC Heerenveen,2500000,23,2015-07-01,112935,Mark Uth
TSG 1899 Hoffenheim,2000000,24,2016-02-15,112935,Mark Uth
TSG 1899 Hoffenheim,3000000,24,2016-07-22,112935,Mark Uth
TSG 1899 Hoffenheim,5000000,25,2017-02-07,112935,Mark Uth
TSG 1899 Hoffenheim,5000000,25,2017-06-19,112935,Mark Uth
TSG 1899 Hoffenheim,10000000,26,2017-10-18,112935,Mark Uth
TSG 1899 Hoffenheim,12000000,26,2017-12-28,112935,Mark Uth
TSG 1899 Hoffenheim,15000000,26,2018-04-04,112935,Mark Uth
TSG 1899 Hoffenheim,18000000,26,2018-06-05,112935,Mark Uth
FC Schalke 04,23000000,26,2018-08-22,112935,Mark Uth
FC Schalke 04,20000000,27,2018-12-18,112935,Mark Uth
FC Schalke 04,16000000,27,2019-03-06,112935,Mark Uth
FC Schalke 04,12000000,27,2019-06-05,112935,Mark Uth
FC Schalke 04,9000000,28,2019-10-02,112935,Mark Uth
FC Schalke 04,5500000,28,2019-12-17,112935,Mark Uth
1. FC Köln,7500000,28,2020-03-11,112935,Mark Uth
1. FC Köln,6000000,28,2020-04-08,112935,Mark Uth
FC Schalke 04,7500000,28,2020-07-08,112935,Mark Uth
FC Schalke 04,5000000,29,2021-02-10,112935,Mark Uth
FC Schalke 04,3000000,29,2021-06-09,112935,Mark Uth
1. FC Köln,3000000,30,2021-12-22,112935,Mark Uth
1. FC Köln,3000000,30,2022-06-09,112935,Mark Uth
1. FC Köln,3000000,31,2022-11-09,112935,Mark Uth
