club,marketValueUnformatted,age,data_date,player_id,Name
Borussia Dortmund II,150000,17,2012-02-03,125103,Marvin Ducksch
Borussia Dortmund II,400000,17,2012-03-05,125103,Marvin Ducksch
Borussia Dortmund II,600000,18,2012-07-05,125103,Marvin Ducksch
Borussia Dortmund II,600000,19,2013-06-28,125103,Marvin Ducksch
Borussia Dortmund,1000000,19,2013-08-27,125103,Marvin Ducksch
SC Paderborn 07,1000000,20,2015-02-04,125103,Marvin Ducksch
Borussia Dortmund II,700000,21,2015-07-01,125103,Marvin Ducksch
FC St. Pauli,500000,22,2016-07-22,125103,Marvin Ducksch
Holstein Kiel,400000,22,2017-02-10,125103,Marvin Ducksch
Holstein Kiel,450000,23,2017-06-14,125103,Marvin Ducksch
Holstein Kiel,800000,23,2017-10-17,125103,Marvin Ducksch
Holstein Kiel,1500000,23,2018-01-22,125103,Marvin Ducksch
Holstein Kiel,1750000,24,2018-03-21,125103,Marvin Ducksch
Holstein Kiel,3000000,24,2018-06-19,125103,Marvin Ducksch
Fortuna Düsseldorf,2500000,24,2018-12-18,125103,Marvin Ducksch
Fortuna Düsseldorf,1500000,25,2019-06-05,125103,Marvin Ducksch
Hannover 96,1500000,25,2019-12-13,125103,Marvin Ducksch
Hannover 96,1200000,26,2020-04-08,125103,Marvin Ducksch
Hannover 96,2000000,26,2020-07-15,125103,Marvin Ducksch
Hannover 96,2000000,26,2021-02-08,125103,Marvin Ducksch
Hannover 96,2000000,27,2021-06-16,125103,Marvin Ducksch
SV Werder Bremen,2500000,27,2021-10-13,125103,Marvin Ducksch
SV Werder Bremen,2500000,27,2021-12-15,125103,Marvin Ducksch
SV Werder Bremen,4000000,28,2022-03-23,125103,Marvin Ducksch
SV Werder Bremen,4000000,28,2022-06-16,125103,Marvin Ducksch
SV Werder Bremen,5000000,28,2022-11-09,125103,Marvin Ducksch
SV Werder Bremen,6500000,29,2023-03-29,125103,Marvin Ducksch
