club,marketValueUnformatted,age,data_date,player_id,Name
SC Freiburg U19,25000,19,2013-04-24,143891,Maximilian Philipp
SC Freiburg II,100000,19,2013-07-11,143891,Maximilian Philipp
SC Freiburg II,25000,19,2013-07-25,143891,Maximilian Philipp
SC Freiburg II,100000,20,2014-03-28,143891,Maximilian Philipp
SC Freiburg,250000,20,2014-07-10,143891,Maximilian Philipp
SC Freiburg,1000000,20,2014-11-03,143891,Maximilian Philipp
SC Freiburg,1000000,20,2015-02-04,143891,Maximilian Philipp
SC Freiburg,1500000,21,2015-03-29,143891,Maximilian Philipp
SC Freiburg,1500000,21,2015-07-01,143891,Maximilian Philipp
SC Freiburg,2250000,21,2016-02-11,143891,Maximilian Philipp
SC Freiburg,3000000,22,2016-07-22,143891,Maximilian Philipp
SC Freiburg,4000000,22,2016-10-13,143891,Maximilian Philipp
SC Freiburg,5500000,22,2017-02-07,143891,Maximilian Philipp
SC Freiburg,7000000,23,2017-03-22,143891,Maximilian Philipp
SC Freiburg,15000000,23,2017-06-19,143891,Maximilian Philipp
Borussia Dortmund,20000000,23,2017-10-18,143891,Maximilian Philipp
Borussia Dortmund,20000000,23,2017-12-28,143891,Maximilian Philipp
Borussia Dortmund,20000000,24,2018-06-05,143891,Maximilian Philipp
Borussia Dortmund,18000000,24,2018-12-18,143891,Maximilian Philipp
Borussia Dortmund,15000000,25,2019-03-06,143891,Maximilian Philipp
Borussia Dortmund,13000000,25,2019-06-05,143891,Maximilian Philipp
Dinamo Moscow,15000000,25,2019-09-08,143891,Maximilian Philipp
Dinamo Moscow,15000000,25,2019-12-23,143891,Maximilian Philipp
Dinamo Moscow,12000000,26,2020-04-08,143891,Maximilian Philipp
Dynamo Moscow,11000000,26,2020-07-29,143891,Maximilian Philipp
VfL Wolfsburg,11000000,26,2021-02-10,143891,Maximilian Philipp
VfL Wolfsburg,8000000,27,2021-03-31,143891,Maximilian Philipp
VfL Wolfsburg,7000000,27,2021-06-09,143891,Maximilian Philipp
VfL Wolfsburg,7000000,27,2021-12-22,143891,Maximilian Philipp
VfL Wolfsburg,5500000,28,2022-03-24,143891,Maximilian Philipp
VfL Wolfsburg,4500000,28,2022-06-09,143891,Maximilian Philipp
VfL Wolfsburg,2500000,28,2022-11-09,143891,Maximilian Philipp
SV Werder Bremen,2000000,29,2023-03-29,143891,Maximilian Philipp
