club,marketValueUnformatted,age,data_date,player_id,Name
FC Liefering,100000,17,2016-02-01,307924,Mergim Berisha
FC Liefering,175000,18,2016-05-30,307924,Mergim Berisha
FC Liefering,400000,18,2016-12-03,307924,Mergim Berisha
Red Bull Salzburg,500000,19,2017-05-27,307924,Mergim Berisha
LASK,750000,19,2018-01-02,307924,Mergim Berisha
LASK,750000,20,2018-06-14,307924,Mergim Berisha
SCR Altach,1500000,21,2019-06-03,307924,Mergim Berisha
SCR Altach,1800000,21,2019-12-16,307924,Mergim Berisha
Red Bull Salzburg,1600000,21,2020-04-08,307924,Mergim Berisha
Red Bull Salzburg,1500000,22,2020-07-22,307924,Mergim Berisha
Red Bull Salzburg,2500000,22,2020-10-12,307924,Mergim Berisha
Red Bull Salzburg,10000000,22,2020-12-21,307924,Mergim Berisha
Red Bull Salzburg,10000000,23,2021-06-02,307924,Mergim Berisha
Fenerbahce,10000000,23,2021-10-12,307924,Mergim Berisha
Fenerbahce,9000000,23,2022-01-04,307924,Mergim Berisha
Fenerbahce,7500000,23,2022-03-31,307924,Mergim Berisha
Fenerbahce,6000000,24,2022-06-01,307924,Mergim Berisha
FC Augsburg,4500000,24,2022-09-21,307924,Mergim Berisha
FC Augsburg,6000000,24,2022-11-09,307924,Mergim Berisha
FC Augsburg,12000000,24,2023-03-29,307924,Mergim Berisha
