club,marketValueUnformatted,age,data_date,player_id,Name
BSC Young Boys,50000,17,2012-01-28,147043,Michael Frey
BSC Young Boys,100000,17,2012-05-30,147043,Michael Frey
BSC Young Boys,150000,18,2012-08-10,147043,Michael Frey
BSC Young Boys,500000,18,2013-01-05,147043,Michael Frey
BSC Young Boys,600000,18,2013-06-17,147043,Michael Frey
BSC Young Boys,1000000,19,2013-11-26,147043,Michael Frey
BSC Young Boys,1500000,19,2014-02-14,147043,Michael Frey
BSC Young Boys,2250000,19,2014-07-16,147043,Michael Frey
LOSC Lille,3000000,20,2014-11-20,147043,Michael Frey
LOSC Lille,3000000,20,2015-01-14,147043,Michael Frey
LOSC Lille,2500000,20,2015-06-06,147043,Michael Frey
BSC Young Boys,2500000,21,2016-07-16,147043,Michael Frey
BSC Young Boys,2500000,22,2016-12-20,147043,Michael Frey
BSC Young Boys,2000000,22,2017-04-14,147043,Michael Frey
FC Zürich,2000000,22,2017-07-12,147043,Michael Frey
FC Zürich,2000000,23,2018-01-08,147043,Michael Frey
FC Zürich,2000000,23,2018-04-24,147043,Michael Frey
FC Zürich,2500000,23,2018-07-12,147043,Michael Frey
Fenerbahce,2500000,24,2019-01-04,147043,Michael Frey
Fenerbahce,1500000,24,2019-06-04,147043,Michael Frey
1.FC Nuremberg,1500000,25,2019-12-13,147043,Michael Frey
1.FC Nuremberg,1200000,25,2020-04-08,147043,Michael Frey
Fenerbahce,1400000,26,2020-08-04,147043,Michael Frey
Waasland-Beveren,1400000,26,2020-10-16,147043,Michael Frey
Waasland-Beveren,2200000,26,2021-06-07,147043,Michael Frey
Royal Antwerp FC,4000000,27,2021-10-06,147043,Michael Frey
Royal Antwerp FC,4500000,27,2022-01-06,147043,Michael Frey
Royal Antwerp FC,5000000,27,2022-04-12,147043,Michael Frey
Royal Antwerp FC,4500000,28,2022-11-04,147043,Michael Frey
FC Schalke 04,3000000,28,2023-03-29,147043,Michael Frey
