club,marketValueUnformatted,age,data_date,player_id,Name
SV Kapfenberg II,50000,16,2010-04-25,120205,Michael Gregoritsch
SV Kapfenberg II,100000,16,2010-06-22,120205,Michael Gregoritsch
SV Kapfenberg,200000,16,2010-12-28,120205,Michael Gregoritsch
SV Kapfenberg,250000,16,2011-04-07,120205,Michael Gregoritsch
SV Kapfenberg,350000,17,2011-09-21,120205,Michael Gregoritsch
SV Kapfenberg,350000,17,2011-12-30,120205,Michael Gregoritsch
SV Kapfenberg,200000,18,2012-05-30,120205,Michael Gregoritsch
TSG 1899 Hoffenheim,200000,18,2013-01-13,120205,Michael Gregoritsch
TSG 1899 Hoffenheim,200000,19,2013-06-30,120205,Michael Gregoritsch
FC St. Pauli,450000,19,2014-01-20,120205,Michael Gregoritsch
TSG 1899 Hoffenheim,450000,20,2014-06-30,120205,Michael Gregoritsch
VfL Bochum,600000,20,2014-10-01,120205,Michael Gregoritsch
VfL Bochum,600000,20,2015-01-13,120205,Michael Gregoritsch
VfL Bochum,1500000,21,2015-07-01,120205,Michael Gregoritsch
Hamburger SV,3000000,21,2015-10-16,120205,Michael Gregoritsch
Hamburger SV,3500000,21,2016-02-15,120205,Michael Gregoritsch
Hamburger SV,3500000,22,2016-07-22,120205,Michael Gregoritsch
Hamburger SV,3500000,22,2017-02-07,120205,Michael Gregoritsch
Hamburger SV,3500000,23,2017-06-19,120205,Michael Gregoritsch
FC Augsburg,5000000,23,2017-10-18,120205,Michael Gregoritsch
FC Augsburg,9000000,23,2017-12-28,120205,Michael Gregoritsch
FC Augsburg,13000000,23,2018-04-04,120205,Michael Gregoritsch
FC Augsburg,14000000,24,2018-06-05,120205,Michael Gregoritsch
FC Augsburg,18000000,24,2018-10-22,120205,Michael Gregoritsch
FC Augsburg,20000000,24,2018-12-18,120205,Michael Gregoritsch
FC Augsburg,16000000,24,2019-03-06,120205,Michael Gregoritsch
FC Augsburg,12000000,25,2019-06-05,120205,Michael Gregoritsch
FC Augsburg,7000000,25,2019-12-17,120205,Michael Gregoritsch
FC Schalke 04,5500000,25,2020-04-08,120205,Michael Gregoritsch
FC Augsburg,4500000,26,2020-09-16,120205,Michael Gregoritsch
FC Augsburg,4000000,26,2021-02-10,120205,Michael Gregoritsch
FC Augsburg,3000000,27,2021-05-27,120205,Michael Gregoritsch
FC Augsburg,2000000,27,2021-10-07,120205,Michael Gregoritsch
FC Augsburg,2000000,27,2021-12-22,120205,Michael Gregoritsch
FC Augsburg,3500000,27,2022-03-24,120205,Michael Gregoritsch
FC Augsburg,4500000,28,2022-06-09,120205,Michael Gregoritsch
SC Freiburg,6000000,28,2022-09-21,120205,Michael Gregoritsch
SC Freiburg,8000000,28,2022-11-09,120205,Michael Gregoritsch
