club,marketValueUnformatted,age,data_date,player_id,Name
FC Energie Cottbus U19,75000,17,2018-02-14,406973,Moritz Broschinski
FC Energie Cottbus U19,100000,17,2018-07-01,406973,Moritz Broschinski
FC Energie Cottbus U19,100000,18,2019-01-15,406973,Moritz Broschinski
FC Energie Cottbus U19,125000,18,2019-03-15,406973,Moritz Broschinski
FC Energie Cottbus U19,125000,18,2019-06-14,406973,Moritz Broschinski
FC Energie Cottbus,150000,19,2019-12-02,406973,Moritz Broschinski
FC Energie Cottbus,200000,19,2020-04-06,406973,Moritz Broschinski
Borussia Dortmund II,200000,19,2020-08-31,406973,Moritz Broschinski
Borussia Dortmund II,200000,20,2021-01-05,406973,Moritz Broschinski
Borussia Dortmund II,150000,20,2021-04-05,406973,Moritz Broschinski
Borussia Dortmund II,150000,20,2021-06-26,406973,Moritz Broschinski
Borussia Dortmund II,125000,21,2021-12-30,406973,Moritz Broschinski
Borussia Dortmund II,125000,21,2022-06-01,406973,Moritz Broschinski
Borussia Dortmund II,175000,22,2022-12-08,406973,Moritz Broschinski
VfL Bochum,500000,22,2023-03-29,406973,Moritz Broschinski
