club,marketValueUnformatted,age,data_date,player_id,Name
FC Crotone,500000,18,2018-02-01,395516,Moussa Diaby
FC Crotone,500000,18,2018-06-07,395516,Moussa Diaby
Paris Saint-Germain,1500000,19,2018-09-06,395516,Moussa Diaby
Paris Saint-Germain,6000000,19,2018-10-24,395516,Moussa Diaby
Paris Saint-Germain,7000000,19,2018-12-17,395516,Moussa Diaby
Paris Saint-Germain,12000000,19,2019-03-07,395516,Moussa Diaby
Paris Saint-Germain,12000000,19,2019-06-03,395516,Moussa Diaby
Bayer 04 Leverkusen,15000000,20,2019-10-02,395516,Moussa Diaby
Bayer 04 Leverkusen,20000000,20,2019-12-17,395516,Moussa Diaby
Bayer 04 Leverkusen,30000000,20,2020-03-11,395516,Moussa Diaby
Bayer 04 Leverkusen,27000000,20,2020-04-08,395516,Moussa Diaby
Bayer 04 Leverkusen,32000000,21,2020-07-08,395516,Moussa Diaby
Bayer 04 Leverkusen,36000000,21,2020-11-26,395516,Moussa Diaby
Bayer 04 Leverkusen,38000000,21,2021-02-10,395516,Moussa Diaby
Bayer 04 Leverkusen,38000000,21,2021-06-09,395516,Moussa Diaby
Bayer 04 Leverkusen,42000000,22,2021-10-07,395516,Moussa Diaby
Bayer 04 Leverkusen,45000000,22,2021-12-22,395516,Moussa Diaby
Bayer 04 Leverkusen,55000000,22,2022-03-24,395516,Moussa Diaby
Bayer 04 Leverkusen,60000000,22,2022-06-09,395516,Moussa Diaby
Bayer 04 Leverkusen,50000000,23,2022-11-09,395516,Moussa Diaby
