club,marketValueUnformatted,age,data_date,player_id,Name
Maccabi Tel Aviv U19,100000,18,2010-10-18,145866,Munas Dabbur
Maccabi Tel Aviv U19,50000,18,2010-11-28,145866,Munas Dabbur
Maccabi Tel Aviv U19,0,19,2011-05-19,145866,Munas Dabbur
Maccabi Tel Aviv,250000,19,2011-12-29,145866,Munas Dabbur
Maccabi Tel Aviv,350000,20,2012-11-04,145866,Munas Dabbur
Grasshopper Club Zurich,1000000,21,2014-05-08,145866,Munas Dabbur
Grasshopper Club Zurich,1750000,22,2014-07-16,145866,Munas Dabbur
Grasshopper Club Zurich,2000000,22,2014-09-12,145866,Munas Dabbur
Grasshopper Club Zurich,3000000,22,2014-12-15,145866,Munas Dabbur
Grasshopper Club Zurich,3500000,22,2015-04-14,145866,Munas Dabbur
Grasshopper Club Zurich,3500000,23,2015-06-18,145866,Munas Dabbur
Grasshopper Club Zurich,5000000,23,2015-09-29,145866,Munas Dabbur
Grasshopper Club Zurich,7000000,23,2015-12-18,145866,Munas Dabbur
Red Bull Salzburg,5000000,24,2016-10-06,145866,Munas Dabbur
Red Bull Salzburg,5000000,24,2016-12-22,145866,Munas Dabbur
Red Bull Salzburg,6000000,25,2018-01-02,145866,Munas Dabbur
Red Bull Salzburg,10000000,25,2018-03-30,145866,Munas Dabbur
Red Bull Salzburg,12500000,26,2018-06-14,145866,Munas Dabbur
Red Bull Salzburg,15000000,26,2018-12-19,145866,Munas Dabbur
Red Bull Salzburg,15000000,27,2019-06-03,145866,Munas Dabbur
Sevilla FC,15000000,27,2019-09-10,145866,Munas Dabbur
Sevilla FC,10000000,27,2019-12-20,145866,Munas Dabbur
TSG 1899 Hoffenheim,8000000,27,2020-04-08,145866,Munas Dabbur
TSG 1899 Hoffenheim,7000000,28,2021-02-10,145866,Munas Dabbur
TSG 1899 Hoffenheim,6000000,29,2021-06-09,145866,Munas Dabbur
TSG 1899 Hoffenheim,6000000,29,2021-12-22,145866,Munas Dabbur
TSG 1899 Hoffenheim,4000000,30,2022-06-09,145866,Munas Dabbur
TSG 1899 Hoffenheim,4000000,30,2022-11-09,145866,Munas Dabbur
