club,marketValueUnformatted,age,data_date,player_id,Name
FC Toulouse,300000,19,2019-07-25,629588,Nathan Ngoumou
FC Toulouse,500000,19,2019-12-19,629588,Nathan Ngoumou
FC Toulouse,450000,20,2020-04-08,629588,Nathan Ngoumou
FC Toulouse,450000,20,2020-11-11,629588,Nathan Ngoumou
FC Toulouse,450000,21,2021-06-25,629588,Nathan Ngoumou
FC Toulouse,800000,21,2021-10-27,629588,Nathan Ngoumou
FC Toulouse,1200000,21,2021-12-27,629588,Nathan Ngoumou
FC Toulouse,1800000,22,2022-03-24,629588,Nathan Ngoumou
FC Toulouse,2500000,22,2022-06-02,629588,Nathan Ngoumou
Borussia Mönchengladbach,7000000,22,2022-09-21,629588,Nathan Ngoumou
Borussia Mönchengladbach,7000000,22,2022-11-09,629588,Nathan Ngoumou
Borussia Mönchengladbach,5000000,23,2023-03-29,629588,Nathan Ngoumou
