club,marketValueUnformatted,age,data_date,player_id,Name
Stade Reims,1000000,17,2019-09-27,557614,Nathanaël Mbuku
Stade Reims,4000000,17,2019-12-19,557614,Nathanaël Mbuku
Stade Reims,3600000,18,2020-04-08,557614,Nathanaël Mbuku
Stade Reims,4000000,18,2020-08-03,557614,Nathanaël Mbuku
Stade Reims,5000000,18,2020-10-15,557614,Nathanaël Mbuku
Stade Reims,8000000,18,2021-01-07,557614,Nathanaël Mbuku
Stade Reims,9000000,19,2021-06-04,557614,Nathanaël Mbuku
Stade Reims,9000000,19,2021-12-16,557614,Nathanaël Mbuku
Stade Reims,8000000,20,2022-05-30,557614,Nathanaël Mbuku
Stade Reims,7000000,20,2022-09-19,557614,Nathanaël Mbuku
Stade Reims,5000000,20,2022-11-02,557614,Nathanaël Mbuku
FC Augsburg,4000000,21,2023-03-29,557614,Nathanaël Mbuku
