club,marketValueUnformatted,age,data_date,player_id,Name
SV Werder Bremen II,75000,18,2011-07-02,75489,Niclas Füllkrug
SV Werder Bremen II,100000,18,2011-08-17,75489,Niclas Füllkrug
SV Werder Bremen II,200000,18,2012-01-10,75489,Niclas Füllkrug
SV Werder Bremen,400000,19,2012-03-05,75489,Niclas Füllkrug
SV Werder Bremen,800000,19,2012-06-29,75489,Niclas Füllkrug
SV Werder Bremen,1000000,19,2012-08-26,75489,Niclas Füllkrug
SV Werder Bremen,1250000,19,2012-10-23,75489,Niclas Füllkrug
SV Werder Bremen,1250000,19,2013-01-13,75489,Niclas Füllkrug
SV Werder Bremen,1250000,20,2013-06-30,75489,Niclas Füllkrug
SpVgg Greuther Fürth,1000000,20,2014-01-20,75489,Niclas Füllkrug
SV Werder Bremen,700000,21,2014-06-30,75489,Niclas Füllkrug
1.FC Nuremberg,900000,21,2015-01-13,75489,Niclas Füllkrug
1.FC Nuremberg,900000,22,2015-07-01,75489,Niclas Füllkrug
1.FC Nuremberg,1000000,23,2016-02-11,75489,Niclas Füllkrug
1.FC Nuremberg,1300000,23,2016-03-22,75489,Niclas Füllkrug
Hannover 96,2250000,23,2016-07-22,75489,Niclas Füllkrug
Hannover 96,1750000,23,2017-01-23,75489,Niclas Füllkrug
Hannover 96,2000000,24,2017-06-27,75489,Niclas Füllkrug
Hannover 96,3000000,24,2017-12-28,75489,Niclas Füllkrug
Hannover 96,5000000,25,2018-04-04,75489,Niclas Füllkrug
Hannover 96,8000000,25,2018-06-05,75489,Niclas Füllkrug
Hannover 96,15000000,25,2018-08-22,75489,Niclas Füllkrug
Hannover 96,15000000,25,2018-12-18,75489,Niclas Füllkrug
Hannover 96,8000000,26,2019-06-05,75489,Niclas Füllkrug
SV Werder Bremen,6500000,26,2019-12-17,75489,Niclas Füllkrug
SV Werder Bremen,4500000,27,2020-03-11,75489,Niclas Füllkrug
SV Werder Bremen,3500000,27,2020-04-08,75489,Niclas Füllkrug
SV Werder Bremen,5000000,27,2020-11-26,75489,Niclas Füllkrug
SV Werder Bremen,5000000,28,2021-02-10,75489,Niclas Füllkrug
SV Werder Bremen,4000000,28,2021-06-09,75489,Niclas Füllkrug
SV Werder Bremen,1500000,28,2021-10-13,75489,Niclas Füllkrug
SV Werder Bremen,1500000,28,2021-12-15,75489,Niclas Füllkrug
SV Werder Bremen,2500000,29,2022-03-23,75489,Niclas Füllkrug
SV Werder Bremen,3000000,29,2022-06-16,75489,Niclas Füllkrug
SV Werder Bremen,4000000,29,2022-09-21,75489,Niclas Füllkrug
SV Werder Bremen,5000000,29,2022-11-09,75489,Niclas Füllkrug
SV Werder Bremen,10000000,29,2022-12-23,75489,Niclas Füllkrug
SV Werder Bremen,13000000,30,2023-03-29,75489,Niclas Füllkrug
