club,marketValueUnformatted,age,data_date,player_id,Name
FC Carl Zeiss Jena II,100000,17,2006-08-07,42936,Nils Petersen
FC Carl Zeiss Jena II,0,17,2006-10-10,42936,Nils Petersen
FC Carl Zeiss Jena II,150000,18,2007-06-19,42936,Nils Petersen
FC Carl Zeiss Jena,350000,19,2007-12-28,42936,Nils Petersen
FC Carl Zeiss Jena,250000,19,2008-10-10,42936,Nils Petersen
FC Energie Cottbus,350000,20,2009-01-21,42936,Nils Petersen
FC Energie Cottbus,500000,21,2010-03-08,42936,Nils Petersen
FC Energie Cottbus,1000000,21,2010-06-13,42936,Nils Petersen
FC Energie Cottbus,1750000,21,2010-09-28,42936,Nils Petersen
FC Energie Cottbus,2500000,22,2011-01-12,42936,Nils Petersen
FC Energie Cottbus,4000000,22,2011-06-04,42936,Nils Petersen
Bayern Munich,4000000,23,2012-01-23,42936,Nils Petersen
Bayern Munich,3000000,23,2012-06-29,42936,Nils Petersen
SV Werder Bremen,4500000,24,2013-01-13,42936,Nils Petersen
SV Werder Bremen,6000000,24,2013-03-11,42936,Nils Petersen
Bayern Munich,5000000,24,2013-06-30,42936,Nils Petersen
SV Werder Bremen,4500000,25,2014-02-12,42936,Nils Petersen
SV Werder Bremen,3500000,25,2014-07-10,42936,Nils Petersen
SV Werder Bremen,2500000,25,2014-11-03,42936,Nils Petersen
SC Freiburg,1750000,26,2015-02-04,42936,Nils Petersen
SC Freiburg,3000000,26,2015-07-01,42936,Nils Petersen
SC Freiburg,3500000,27,2016-02-11,42936,Nils Petersen
SC Freiburg,3500000,27,2016-07-22,42936,Nils Petersen
SC Freiburg,3500000,28,2017-02-07,42936,Nils Petersen
SC Freiburg,4500000,28,2017-06-19,42936,Nils Petersen
SC Freiburg,5000000,29,2017-12-28,42936,Nils Petersen
SC Freiburg,7500000,29,2018-04-04,42936,Nils Petersen
SC Freiburg,12000000,29,2018-06-05,42936,Nils Petersen
SC Freiburg,10000000,30,2018-12-18,42936,Nils Petersen
SC Freiburg,8000000,30,2019-06-05,42936,Nils Petersen
SC Freiburg,8000000,31,2019-12-17,42936,Nils Petersen
SC Freiburg,6500000,31,2020-04-08,42936,Nils Petersen
SC Freiburg,5000000,31,2020-09-16,42936,Nils Petersen
SC Freiburg,4000000,32,2021-02-10,42936,Nils Petersen
SC Freiburg,3000000,32,2021-06-09,42936,Nils Petersen
SC Freiburg,1800000,33,2021-12-22,42936,Nils Petersen
SC Freiburg,1500000,33,2022-06-09,42936,Nils Petersen
SC Freiburg,1500000,33,2022-11-09,42936,Nils Petersen
